country_name,country_code,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
Macao,MAC,35,9,3,3,3,0,2,0,0,0,1,1,2,0,na,1,0,0,0,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Madagascar,MDG,85317,80494,56508,13349,11291,15174,62696,28917,88850,74924,90041,282890,na,na,287622,320029,383863,302336,na,na,403489,447992,422610,493000,623000,762000,385581,354431,na,na,na,na,na,na,na,na
Malawi,MWI,6178,na,29235,11468,na,4799,na,na,na,13081,31522,na,na,na,27865,27571,29891,23237,na,30234,na,na,na,na,na,na,1700734,na,na,na,na,4686201,4736974,na,na,na
Malaysia,MYS,na,na,na,na,na,na,30113,26072,40826,61571,54048,34789,45096,60852,62509,59113,55312,44912,44552,59422,43915,22218,32094,49526,44145,36657,50743,65283,50500,39189,36853,39890,58958,59208,51921,26649
Maldives,MDV,na,na,na,na,na,na,na,na,349,363,348,834,220,1105,580,266,391,329,52,58,101,22,10,16,8,11,16,11,16,27,25,29,16,17,9,10
Mali,MLI,317322,62734,138723,346029,397775,421177,469539,664335,517744,473941,345307,371564,408161,408934,392663,324619,261214,180176,149308,na,42555,na,17656,178996,na,na,na,272505,248904,282256,280562,295737,263100,95357,29818,384907
Malta,MLT,na,na,na,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Mauritania,MRT,30048,35068,37848,48455,39036,na,na,28370,29500,na,na,34066,41405,48359,57070,42608,24899,na,na,na,47000,64000,na,na,na,na,na,na,na,42112,45687,43892,156080,214478,na,na
Mauritius,MUS,226,9,10,14,12,15,14,17,11,18,14,13,18,55,50,86,77,128,470,607,668,296,143,54,33,120,168,78,54,48,66,54,65,46,82,65
Mexico,MEX,13781,11267,13342,10113,11307,15163,26039,48843,57331,42978,26216,23176,26800,27920,18153,18851,19071,20983,25734,42104,49993,75029,85501,133698,131014,102984,116238,101241,44513,26565,16170,15793,12864,7316,6293,5046
Morocco,MAR,17982,19897,42661,na,na,3919,na,8122,5237,10314,6555,1686,918,283,142,159,64,397,360,98,62,75,318,713,597,1287,550,830,839,499,405,198,206,197,102,125
Mozambique,MOZ,89991,74893,na,na,93395,2459,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Myanmar,MMR,376,1800,3269,5832,7139,5884,8142,6852,8123,7058,9050,8279,9246,11871,10003,13195,12485,14515,16469,42019,42021,47700,60488,65279,62917,66643,94736,135194,133049,126967,125710,117068,111373,100448,68700,112500
Namibia,NAM,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,380530,401519,295147,373009,425185
Nepal,NPL,na,na,2400,na,na,na,na,3860,2926,2778,4066,9375,14647,12372,10123,11615,12887,12131,12265,15978,16902,16719,29388,42321,36791,26690,23751,22333,22856,29135,23234,16380,9442,9718,6628,6559
Nicaragua,NIC,11200,10593,11197,10275,13895,16321,8250,16043,27260,25303,9595,4246,12167,24692,26228,11584,10633,18418,25465,17434,15601,12907,15702,15130,20308,17011,33047,45982,35785,27653,26866,44037,41490,69444,75606,42819
Niger,NER,138998,76238,93398,101564,166043,121826,119572,148552,158602,192601,na,155800,283059,114341,323799,296266,307837,384029,na,na,407105,na,547845,517168,617619,418540,685489,521122,195526,808968,865976,726666,806204,778175,1162824,978855
Nigeria,NGA,na,na,184588,na,438233,277570,265908,369397,628534,644994,839922,723516,885057,1083263,1095918,1222569,1334228,1021331,1171071,na,832911,na,na,1280000,1020000,1110000,1174633,na,1047292,929698,1218747,981934,987333,1131692,889924,616466
Oman,OMN,na,22787,31143,na,na,na,na,na,na,na,na,na,na,447,3286,2632,6840,2247,1340,2218,30566,34885,16590,16445,16710,15514,24619,17867,32720,19274,14827,16873,7215,1801,1265,1026
Pakistan,PAK,na,na,na,na,6416,9116,15847,57721,108773,206349,643013,606828,303937,238315,122219,47571,16160,12304,17707,37923,56708,49160,73996,60669,90312,64342,49763,107739,79689,66586,103084,92634,108586,111836,98035,77480
Panama,PAN,3249,3670,1804,1967,3735,2808,1714,6096,4641,1080,860,1606,1186,677,734,678,268,316,310,340,334,341,125,126,1060,1195,1000,427,381,1115,727,481,684,730,476,505
Papua New Guinea,PNG,na,2149,108,na,1740,2628,na,2743,30300,24525,39870,43265,46658,56233,65442,68609,106138,117670,118390,122743,109306,126930,150328,182545,143316,164228,83944,121796,104939,86514,26414,66797,629525,50208,71013,38105
Paraguay,PRY,5756,3443,8851,6732,33026,50304,20743,10307,1429,423,94,41,101,217,140,156,156,116,140,73,66,49,554,4568,4329,3741,2884,5247,2912,2983,1289,436,583,898,637,567
Peru,PER,2195,1743,1934,1877,2051,2772,2010,3168,4546,4128,9270,12033,12485,14338,18462,32410,20376,17127,14982,14812,20483,28563,33724,35026,36866,39136,32359,32114,28882,33705,54922,95222,122039,192629,213132,183740
Philippines,PHL,40342,33517,40854,28988,33737,31441,28354,31243,35482,37113,42682,87895,47523,72675,72711,86553,104826,87668,105750,97557,97531,90319,107311,103056,102573,154091,154943,115542,86172,86392,110457,64974,57493,56852,40545,42005
Puerto Rico,PRI,0,0,0,2,6,15,9,4,39,30,5,1,1,1,1,3,3,2,5,11,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Romania,ROU,23,16,18,13,10,16,9,4,13,6,17,17,18,13,14,19,21,19,14,22,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Rwanda,RWA,na,57187,51523,na,22325,na,37686,28323,34274,55803,67667,53453,54666,66441,85129,128048,134489,137047,123882,na,137325,na,270000,343416,428506,689775,1101280,1350643,1282012,1331494,1373247,733203,371550,1391931,1145759,1210775
Sao Tome and Princepe,STP,na,na,na,na,6902,7773,7024,na,na,6563,4806,4038,na,na,903,2010,2095,7478,na,na,263,na,na,na,23324,35008,na,73183,na,na,na,na,na,na,na,na
Saudi Arabia,SAU,na,na,na,na,na,na,na,na,6104,864,2545,1996,3008,1753,2199,2987,3344,3192,6496,5543,15167,17956,11091,16242,12975,17650,9797,6475,15666,9962,19623,18380,10032,18751,21007,20631
Senegal,SEN,227596,226681,69982,280243,373969,440176,386911,539158,472461,499130,472048,521181,555925,483773,443741,366967,414031,508010,na,498895,394297,374086,na,286855,388476,379734,254118,52011,na,na,na,na,450071,628773,na,na
Seychelles,SYC,na,na,na,na,na,na,na,na,na,na,na,na,na,na,4,6,na,0,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Sierra Leone,SLE,na,na,na,na,na,na,na,na,na,33156,na,na,na,na,na,na,na,79991,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Singapore,SGP,36,273,177,201,216,228,396,302,473,357,302,347,416,443,251,184,166,208,200,261,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Solomon Islands,SLB,16319,18919,19292,15696,1481,13409,3134,5486,9821,7161,5216,7748,8681,3554,3798,10591,19987,26357,35028,61108,69829,84526,72108,40778,58776,72800,63893,65241,116449,141438,153359,126123,131687,118521,84795,68125
Somalia,SOM,na,na,na,na,na,na,na,na,5041,2617,27034,20006,14314,9670,10618,13684,14785,11343,na,na,7921,4911,3054,3382,4355,7255,16830,16215,na,na,na,3049,na,na,na,na
South Africa,ZAF,252,265,460,55,304,1207,138,498,227,670,3523,483,1707,3031,2616,3954,3137,2007,1059,na,2184,2130,4642,11358,7491,10374,9365,7085,6857,4712,2886,13330,10298,9287,29160,na
Sri Lanka,LKA,31,117,150,308,499,3466,440644,537705,468199,145368,132605,277713,315448,400777,304487,262460,69685,48004,47949,47383,38566,127264,149470,117816,412521,676567,383294,258727,287384,400263,399349,327020,273434,142294,184319,218550
St.Lucia,LCA,na,na,na,0,0,na,0,0,na,0,1,0,0,0,1,0,0,1,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Sudan,SDN,na,na,na,638598,741045,na,781838,808644,110128,na,128661,818225,937776,927399,1039243,na,2660753,na,2925407,na,3446,na,7723,8526,18105,17402,42686,42528,21032,17920,31974,na,na,232177,na,1464250
Suriname,SUR,716,1882,1681,4311,2933,1792,1555,741,1019,1546,800,1948,3984,2741,537,993,876,903,4445,2479,2805,1943,3849,1635,1316,2044,2691,1704,1608,1490,1404,na,4704,6606,16649,11323
Swaziland,CHE,209,127,187,184,217,147,73,32,126,491,61,120,136,489,na,812,na,na,na,na,878,743,3373,1778,1732,na,na,na,na,na,na,na,na,na,na,na
Syrian Arab Republic,SYR,245,618,394,988,794,1776,3229,2442,1787,511,309,315,143,232,1077,2149,3378,2550,1481,1828,2183,1260,840,435,273,150,105,83,107,54,456,966,607,626,345,130
Tanzania,TZA,234671,383778,378531,463381,546190,610453,44256,na,46723,na,na,725245,na,na,na,na,485956,na,na,na,414237,322504,322741,613823,4100000,5698000,7202389,15252531,10715736,8715736,7681524,8777340,7976590,2438040,4969273,1131655
Thailand,THA,18746,24038,101282,166606,81152,74092,89057,86986,148926,133999,92409,144855,238950,267534,282968,318237,329532,302568,396705,427792,420799,243906,306569,275443,255682,321510,349291,299137,272634,198383,168370,115220,102119,82743,87622,97540
Togo,TGO,93691,328504,283312,241450,na,221955,249995,241434,258227,240015,244274,235140,244554,264614,274459,292191,293888,294562,na,na,274667,553856,745292,1066704,1317087,1609378,1288621,1248878,810509,780825,634166,561328,328488,na,na,na
Tonga,TON,na,na,na,0,0,na,0,0,0,na,0,na,na,0,0,na,na,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Trinidad,TTO,na,na,na,2,40,0,5,5,1,3,2,2,1,4,3,2,1,8,3,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Tunisia,TUN,252,253,776,3032,4769,2360,2200,475,94,100,19,6,4,28,9,6,16,6,7,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Turkey,TUR,3594,4365,4305,4589,3793,3974,3318,2171,1263,2046,2892,2438,2877,9828,37320,115385,87867,29323,34154,55551,62038,66681,55020,47311,37899,20134,16245,12112,8680,12218,18676,47210,84345,82096,60884,35456
Uganda,UGA,na,na,15978,na,na,na,21770,707288,na,679359,na,630588,255183,31783,na,na,na,20305,na,70520,42860,na,na,na,213999,na,427819,585075,na,na,na,na,na,na,na,na
United Arabs Emirates,ARE,na,na,na,na,na,na,na,na,na,na,3554,3191,1189,2144,na,14737,22662,11599,8560,7653,6224,4815,3516,2599,3070,2717,3056,2823,3514,3457,3605,3735,3335,2914,139,99
Upper Volta,,83043,110958,132734,228748,533571,na,105349,582937,532755,700844,na,592951,1695,na,473495,252689,371730,317533,211661,326183,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Uruguay,URY,1,1,0,2,4,0,0,na,1,na,1,1,0,0,na,1,1,0,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
USSR,RUS,178,140,164,357,300,289,262,357,469,307,211,226,272,275,310,350,408,399,386,304,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Vanuatu,VUT,574,2031,1931,1612,12610,15195,11278,2178,2562,1201,na,2512,4657,869,3251,5285,4782,2935,4347,6313,11197,25256,28033,24882,22449,26625,26894,37800,28558,17150,13330,10377,3771,8318,5654,6099
Venezuela,VEN,1210,2853,5884,4794,4634,5257,5735,8740,15288,23626,18062,11687,7687,5952,4768,5304,5065,4705,3884,3354,4269,8400,12242,14305,14361,17988,45827,43374,46910,43454,21416,12539,13727,16371,18858,22400
Vietnam,VNM,116743,na,13728,16982,10822,11261,1645,24070,8634,5797,7486,9327,11039,na,na,na,na,40782,31763,42714,50920,63649,58806,78374,87351,130690,151520,142818,139588,187994,225928,156069,140120,100116,84625,65859
Yemen. Republic,,na,na,na,na,na,na,na,na,na,na,na,400,na,2820,na,1337,na,3838,5824,10029,20641,2168,1262,1178,1862,2551,2618,3067,11384,12717,29320,39396,37201,na,416246,1394495
Yemen.People Republic,,na,na,na,na,na,na,525,na,na,426,2424,4380,10059,13141,7875,9563,8317,4083,2153,4079,7609,9294,3615,3187,3564,5540,7805,8716,0,0,0,0,0,0,0,0
Yugoslavia,,30,30,60,29,26,17,17,15,16,15,14,15,20,13,41,41,50,55,83,58,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Zaire,,198647,117630,na,na,na,na,na,464252,901172,911019,881762,na,na,na,na,na,331425,317533,na,na,na,na,na,10791,8761,12638,11699,11089,na,na,na,na,na,na,na,na
Zambia,ZMB,5845,13735,9430,na,8082,na,na,1253,na,na,532,1516,1182,1144,na,na,4063,10580,na,na,1108094,196804,na,140471,154496,166701,197265,1993262,1933696,2340994,2953692,3514000,3514000,2742118,3215866,na
Zimbabwe,ZWE,3272,na,na,na,na,na,na,na,na,na,16233,9527,87647,na,na,na,n,3807,14587,na,28628,51290,93373,281399,354492,468621,970001,733146,633626,581168,420137,877734,324188,330002,na,na
