pr,"	Year", Month, Country
206.211,2008,8,GUY
112.676,2008,9,GUY
137.623,2008,10,GUY
120.079,2008,11,GUY
498.616,2008,12,GUY
369.271,2009,1,GUY
166.438,2009,2,GUY
139.672,2009,3,GUY
257.935,2009,4,GUY
48.2712,2009,5,GUY
333.607,2009,6,GUY
273.977,2009,7,GUY
83.58,2009,8,GUY
60.7328,2009,9,GUY
117.763,2009,10,GUY
76.4901,2009,11,GUY
149.877,2009,12,GUY
63.6866,2010,1,GUY
149.666,2010,2,GUY
124.47,2010,3,GUY
300.532,2010,4,GUY
420.095,2010,5,GUY
268.238,2010,6,GUY
391.718,2010,7,GUY
279.893,2010,8,GUY
140.573,2010,9,GUY
101.221,2010,10,GUY
172.628,2010,11,GUY
229.966,2010,12,GUY
159.429,2011,1,GUY
337.196,2011,2,GUY
489.893,2011,3,GUY
64.2635,2011,4,GUY
467.382,2011,5,GUY
300.474,2011,6,GUY
226.494,2011,7,GUY
200.504,2011,8,GUY
66.6677,2011,9,GUY
151.097,2011,10,GUY
146.797,2011,11,GUY
117.399,2011,12,GUY
273.818,2012,1,GUY
268.98,2012,2,GUY
124.914,2012,3,GUY
263.516,2012,4,GUY
362.661,2012,5,GUY
193.055,2012,6,GUY
266.918,2012,7,GUY
207.233,2012,8,GUY
28.3918,2012,9,GUY
47.34,2012,10,GUY
80.3758,2012,11,GUY
168.285,2012,12,GUY
53.9965,2013,1,GUY
259.886,2013,2,GUY
116.241,2013,3,GUY
227.7,2013,4,GUY
385.357,2013,5,GUY
250.942,2013,6,GUY
295.054,2013,7,GUY
263.859,2013,8,GUY
106.769,2013,9,GUY
89.8353,2013,10,GUY
186.197,2013,11,GUY
244.509,2013,12,GUY
72.4249,2014,1,GUY
111.696,2014,2,GUY
77.0558,2014,3,GUY
99.9632,2014,4,GUY
165.759,2014,5,GUY
308.032,2014,6,GUY
228.948,2014,7,GUY
172.729,2014,8,GUY
39.2696,2014,9,GUY
81.6605,2014,10,GUY
213.718,2014,11,GUY
121.465,2014,12,GUY
104.306,2015,1,GUY
196.197,2015,2,GUY
88.1382,2015,3,GUY
146.157,2015,4,GUY
338.333,2015,5,GUY
340.713,2015,6,GUY
266.454,2015,7,GUY
280.869,2015,8,GUY
75.3273,2015,9,GUY
34.0801,2015,10,GUY
63.8122,2015,11,GUY
137.908,2015,12,GUY
10.4173,1991,1,HUN
33.7169,1991,2,HUN
21.0125,1991,3,HUN
45.0983,1991,4,HUN
85.3688,1991,5,HUN
51.7708,1991,6,HUN
120.89,1991,7,HUN
59.2143,1991,8,HUN
27.0934,1991,9,HUN
92.1459,1991,10,HUN
74.8251,1991,11,HUN
29.1715,1991,12,HUN
12.0773,1992,1,HUN
17.2466,1992,2,HUN
33.995,1992,3,HUN
31.9314,1992,4,HUN
26.7209,1992,5,HUN
100.334,1992,6,HUN
42.1502,1992,7,HUN
9.74108,1992,8,HUN
45.5625,1992,9,HUN
102.164,1992,10,HUN
64.1341,1992,11,HUN
43.2352,1992,12,HUN
15.2535,1993,1,HUN
13.1737,1993,2,HUN
32.6884,1993,3,HUN
33.2791,1993,4,HUN
27.4851,1993,5,HUN
51.7312,1993,6,HUN
54.7122,1993,7,HUN
39.7924,1993,8,HUN
57.7466,1993,9,HUN
71.8877,1993,10,HUN
71.9836,1993,11,HUN
72.1636,1993,12,HUN
37.487,1994,1,HUN
26.1679,1994,2,HUN
25.5076,1994,3,HUN
74.5315,1994,4,HUN
64.3001,1994,5,HUN
50.0462,1994,6,HUN
41.1389,1994,7,HUN
76.234,1994,8,HUN
52.1219,1994,9,HUN
57.4478,1994,10,HUN
26.4754,1994,11,HUN
31.9902,1994,12,HUN
34.5963,1995,1,HUN
53.8531,1995,2,HUN
40.3267,1995,3,HUN
