pr,"	Year", Month, Country
30.1116,1991,1,ALB
137.402,1991,2,ALB
57.5585,1991,3,ALB
110.552,1991,4,ALB
76.4948,1991,5,ALB
26.8189,1991,6,ALB
92.6931,1991,7,ALB
43.2262,1991,8,ALB
41.0273,1991,9,ALB
107.11,1991,10,ALB
170.935,1991,11,ALB
37.115,1991,12,ALB
22.1104,1992,1,ALB
27.077,1992,2,ALB
41.2474,1992,3,ALB
109.218,1992,4,ALB
61.7132,1992,5,ALB
98.3659,1992,6,ALB
46.1872,1992,7,ALB
4.5501,1992,8,ALB
45.1164,1992,9,ALB
101.639,1992,10,ALB
68.5483,1992,11,ALB
96.3604,1992,12,ALB
21.1367,1993,1,ALB
21.9426,1993,2,ALB
99.8099,1993,3,ALB
66.2302,1993,4,ALB
103.433,1993,5,ALB
47.2348,1993,6,ALB
12.6506,1993,7,ALB
20.9427,1993,8,ALB
71.5788,1993,9,ALB
85.4621,1993,10,ALB
179.688,1993,11,ALB
107.868,1993,12,ALB
113.985,1994,1,ALB
96.0685,1994,2,ALB
13.1311,1994,3,ALB
140.959,1994,4,ALB
63.668,1994,5,ALB
51.795,1994,6,ALB
40.8021,1994,7,ALB
60.1429,1994,8,ALB
47.1115,1994,9,ALB
96.5839,1994,10,ALB
101.433,1994,11,ALB
115.836,1994,12,ALB
80.2833,1995,1,ALB
78.1361,1995,2,ALB
123.448,1995,3,ALB
83.7307,1995,4,ALB
76.4715,1995,5,ALB
17.8454,1995,6,ALB
71.8265,1995,7,ALB
129.21,1995,8,ALB
98.2561,1995,9,ALB
8.03377,1995,10,ALB
88.6561,1995,11,ALB
187.832,1995,12,ALB
74.772,1996,1,ALB
128.42,1996,2,ALB
114.285,1996,3,ALB
70.3147,1996,4,ALB
76.2573,1996,5,ALB
27.6546,1996,6,ALB
7.18345,1996,7,ALB
44.7446,1996,8,ALB
172.717,1996,9,ALB
99.4984,1996,10,ALB
135.158,1996,11,ALB
144.818,1996,12,ALB
53.1653,1997,1,ALB
38.0477,1997,2,ALB
32.7788,1997,3,ALB
88.9579,1997,4,ALB
49.146,1997,5,ALB
26.5045,1997,6,ALB
26.2765,1997,7,ALB
64.044,1997,8,ALB
9.08805,1997,9,ALB
161.91,1997,10,ALB
107.973,1997,11,ALB
157.362,1997,12,ALB
54.7397,1998,1,ALB
50.0955,1998,2,ALB
