pr,"	Year", Month, Country
20.2766,1991,1,SRB
43.5765,1991,2,SRB
53.5372,1991,3,SRB
68.9935,1991,4,SRB
105.888,1991,5,SRB
61.7132,1991,6,SRB
136.314,1991,7,SRB
64.1025,1991,8,SRB
41.0375,1991,9,SRB
98.8756,1991,10,SRB
78.2103,1991,11,SRB
30.6461,1991,12,SRB
11.0742,1992,1,SRB
28.0815,1992,2,SRB
12.9028,1992,3,SRB
65.8919,1992,4,SRB
40.885,1992,5,SRB
166.737,1992,6,SRB
46.3836,1992,7,SRB
18.0707,1992,8,SRB
32.8362,1992,9,SRB
98.111,1992,10,SRB
65.2131,1992,11,SRB
34.9381,1992,12,SRB
20.3915,1993,1,SRB
24.0173,1993,2,SRB
65.203,1993,3,SRB
35.569,1993,4,SRB
51.8454,1993,5,SRB
55.2659,1993,6,SRB
41.3707,1993,7,SRB
33.6928,1993,8,SRB
58.8934,1993,9,SRB
35.7911,1993,10,SRB
86.8054,1993,11,SRB
73.4326,1993,12,SRB
42.9945,1994,1,SRB
33.2844,1994,2,SRB
23.4644,1994,3,SRB
87.6063,1994,4,SRB
49.1685,1994,5,SRB
129.957,1994,6,SRB
59.5203,1994,7,SRB
72.075,1994,8,SRB
40.9804,1994,9,SRB
56.928,1994,10,SRB
30.6893,1994,11,SRB
41.2596,1994,12,SRB
70.4218,1995,1,SRB
49.7399,1995,2,SRB
56.973,1995,3,SRB
58.0487,1995,4,SRB
94.9866,1995,5,SRB
91.4076,1995,6,SRB
72.6482,1995,7,SRB
85.3976,1995,8,SRB
102.328,1995,9,SRB
3.30375,1995,10,SRB
62.4015,1995,11,SRB
90.3124,1995,12,SRB
45.3288,1996,1,SRB
65.0327,1996,2,SRB
50.2971,1996,3,SRB
47.4527,1996,4,SRB
103.471,1996,5,SRB
47.1614,1996,6,SRB
34.1776,1996,7,SRB
74.7307,1996,8,SRB
156.027,1996,9,SRB
45.8105,1996,10,SRB
74.6582,1996,11,SRB
89.3208,1996,12,SRB
30.4197,1997,1,SRB
37.371,1997,2,SRB
28.0719,1997,3,SRB
72.4779,1997,4,SRB
64.1402,1997,5,SRB
42.57,1997,6,SRB
90.7264,1997,7,SRB
100.976,1997,8,SRB
24.3607,1997,9,SRB
110.889,1997,10,SRB
44.0973,1997,11,SRB
90.3988,1997,12,SRB
63.0467,1998,1,SRB
18.6459,1998,2,SRB
21.5046,1998,3,SRB
47.6248,1998,4,SRB
72.3555,1998,5,SRB
71.4504,1998,6,SRB
75.7738,1998,7,SRB
52.0207,1998,8,SRB
118.363,1998,9,SRB
101.742,1998,10,SRB
65.5024,1998,11,SRB
37.6598,1998,12,SRB
48.3932,1999,1,SRB
74.678,1999,2,SRB
30.7689,1999,3,SRB
66.6151,1999,4,SRB
69.6943,1999,5,SRB
117.336,1999,6,SRB
121.605,1999,7,SRB
29.9872,1999,8,SRB
69.564,1999,9,SRB
52.3506,1999,10,SRB
76.6404,1999,11,SRB
134.777,1999,12,SRB
33.0364,2000,1,SRB
29.7923,2000,2,SRB
38.9974,2000,3,SRB
52.1746,2000,4,SRB
27.8703,2000,5,SRB
32.2565,2000,6,SRB
45.0889,2000,7,SRB
8.33584,2000,8,SRB
81.003,2000,9,SRB
22.1173,2000,10,SRB
37.8688,2000,11,SRB
46.6491,2000,12,SRB
58.3408,2001,1,SRB
32.1348,2001,2,SRB
59.6747,2001,3,SRB
87.9328,2001,4,SRB
67.1511,2001,5,SRB
126.503,2001,6,SRB
37.5071,2001,7,SRB
43.8055,2001,8,SRB
141.125,2001,9,SRB
13.9322,2001,10,SRB
65.466,2001,11,SRB
39.539,2001,12,SRB
16.8092,2002,1,SRB
22.9978,2002,2,SRB
29.4776,2002,3,SRB
58.1598,2002,4,SRB
58.0398,2002,5,SRB
68.7201,2002,6,SRB
81.6511,2002,7,SRB
105.515,2002,8,SRB
92.0886,2002,9,SRB
84.2671,2002,10,SRB
40.49,2002,11,SRB
56.374,2002,12,SRB
95.0867,2003,1,SRB
33.2234,2003,2,SRB
7.54577,2003,3,SRB
43.622,2003,4,SRB
58.4606,2003,5,SRB
56.0326,2003,6,SRB
75.0347,2003,7,SRB
16.3865,2003,8,SRB
71.5801,2003,9,SRB
135.219,2003,10,SRB
52.0054,2003,11,SRB
37.1031,2003,12,SRB
81.7507,2004,1,SRB
35.6739,2004,2,SRB
29.1966,2004,3,SRB
71.9642,2004,4,SRB
83.5455,2004,5,SRB
98.9625,2004,6,SRB
65.744,2004,7,SRB
75.1553,2004,8,SRB
55.1582,2004,9,SRB
50.461,2004,10,SRB
