pr,"	Year", Month, Country
223.348,1918,10,BRB
226.384,1918,11,BRB
177.093,1918,12,BRB
128.081,1919,1,BRB
93.384,1919,2,BRB
86.0584,1919,3,BRB
101.732,1919,4,BRB
145.407,1919,5,BRB
193.046,1919,6,BRB
226.348,1919,7,BRB
230,1919,8,BRB
208.988,1919,9,BRB
223.348,1919,10,BRB
226.384,1919,11,BRB
177.093,1919,12,BRB
128.081,1920,1,BRB
93.384,1920,2,BRB
86.0584,1920,3,BRB
101.732,1920,4,BRB
145.407,1920,5,BRB
193.046,1920,6,BRB
226.348,1920,7,BRB
230,1920,8,BRB
208.988,1920,9,BRB
223.348,1920,10,BRB
226.384,1920,11,BRB
177.093,1920,12,BRB
128.081,1921,1,BRB
93.384,1921,2,BRB
86.0584,1921,3,BRB
101.732,1921,4,BRB
145.407,1921,5,BRB
193.046,1921,6,BRB
226.348,1921,7,BRB
230,1921,8,BRB
208.988,1921,9,BRB
223.348,1921,10,BRB
226.384,1921,11,BRB
177.093,1921,12,BRB
128.081,1922,1,BRB
93.384,1922,2,BRB
86.0584,1922,3,BRB
101.732,1922,4,BRB
145.407,1922,5,BRB
193.046,1922,6,BRB
226.348,1922,7,BRB
230,1922,8,BRB
208.988,1922,9,BRB
223.348,1922,10,BRB
226.384,1922,11,BRB
177.093,1922,12,BRB
128.081,1923,1,BRB
93.384,1923,2,BRB
86.0584,1923,3,BRB
101.732,1923,4,BRB
145.407,1923,5,BRB
193.046,1923,6,BRB
226.348,1923,7,BRB
230,1923,8,BRB
208.988,1923,9,BRB
223.348,1923,10,BRB
226.384,1923,11,BRB
177.093,1923,12,BRB
128.081,1924,1,BRB
93.384,1924,2,BRB
86.0584,1924,3,BRB
101.732,1924,4,BRB
145.407,1924,5,BRB
193.046,1924,6,BRB
226.348,1924,7,BRB
230,1924,8,BRB
208.988,1924,9,BRB
223.348,1924,10,BRB
226.384,1924,11,BRB
177.093,1924,12,BRB
128.081,1925,1,BRB
93.384,1925,2,BRB
86.0584,1925,3,BRB
101.732,1925,4,BRB
145.407,1925,5,BRB
193.046,1925,6,BRB
226.348,1925,7,BRB
230,1925,8,BRB
208.988,1925,9,BRB
223.348,1925,10,BRB
226.384,1925,11,BRB
177.093,1925,12,BRB
128.081,1926,1,BRB
93.384,1926,2,BRB
86.0584,1926,3,BRB
101.732,1926,4,BRB
145.407,1926,5,BRB
193.046,1926,6,BRB
226.348,1926,7,BRB
230,1926,8,BRB
208.988,1926,9,BRB
223.348,1926,10,BRB
226.384,1926,11,BRB
177.093,1926,12,BRB
128.081,1927,1,BRB
93.384,1927,2,BRB
86.0584,1927,3,BRB
101.732,1927,4,BRB
145.407,1927,5,BRB
193.046,1927,6,BRB
226.348,1927,7,BRB
230,1927,8,BRB
208.988,1927,9,BRB
223.348,1927,10,BRB
226.384,1927,11,BRB
177.093,1927,12,BRB
128.081,1928,1,BRB
93.384,1928,2,BRB
86.0584,1928,3,BRB
101.732,1928,4,BRB
145.407,1928,5,BRB
193.046,1928,6,BRB
226.348,1928,7,BRB
230,1928,8,BRB
208.988,1928,9,BRB
223.348,1928,10,BRB
226.384,1928,11,BRB
177.093,1928,12,BRB
128.081,1929,1,BRB
93.384,1929,2,BRB
86.0584,1929,3,BRB
101.732,1929,4,BRB
145.407,1929,5,BRB
193.046,1929,6,BRB
226.348,1929,7,BRB
230,1929,8,BRB
208.988,1929,9,BRB
223.348,1929,10,BRB
226.384,1929,11,BRB
177.093,1929,12,BRB
128.081,1930,1,BRB
93.384,1930,2,BRB
86.0584,1930,3,BRB
101.732,1930,4,BRB
145.407,1930,5,BRB
193.046,1930,6,BRB
226.348,1930,7,BRB
230,1930,8,BRB
208.988,1930,9,BRB
223.348,1930,10,BRB
226.384,1930,11,BRB
177.093,1930,12,BRB
128.081,1931,1,BRB
93.384,1931,2,BRB
86.0584,1931,3,BRB
101.732,1931,4,BRB
145.407,1931,5,BRB
193.046,1931,6,BRB
226.348,1931,7,BRB
230,1931,8,BRB
208.988,1931,9,BRB
223.348,1931,10,BRB
226.384,1931,11,BRB
177.093,1931,12,BRB
113.244,1932,1,BRB
68.8467,1932,2,BRB
81.1235,1932,3,BRB
79.827,1932,4,BRB
155.942,1932,5,BRB
222.709,1932,6,BRB
225.282,1932,7,BRB
177.852,1932,8,BRB
217.684,1932,9,BRB
224.415,1932,10,BRB
361.73,1932,11,BRB
142.455,1932,12,BRB
165.191,1933,1,BRB
70.6467,1933,2,BRB
70.2538,1933,3,BRB
63.2224,1933,4,BRB
181.012,1933,5,BRB
