pr,"	Year", Month, Country
40.3934,1991,1,LVA
37.7481,1991,2,LVA
35.365,1991,3,LVA
24.802,1991,4,LVA
73.6748,1991,5,LVA
100.042,1991,6,LVA
38.5579,1991,7,LVA
60.396,1991,8,LVA
81.0151,1991,9,LVA
53.1167,1991,10,LVA
71.7764,1991,11,LVA
47.0386,1991,12,LVA
56.7721,1992,1,LVA
46.0785,1992,2,LVA
46.9764,1992,3,LVA
58.9353,1992,4,LVA
39.4414,1992,5,LVA
24.7618,1992,6,LVA
36.3969,1992,7,LVA
55.1411,1992,8,LVA
91.7513,1992,9,LVA
66.6022,1992,10,LVA
71.2149,1992,11,LVA
41.1394,1992,12,LVA
65.2117,1993,1,LVA
41.8708,1993,2,LVA
35.8063,1993,3,LVA
21.6848,1993,4,LVA
17.0462,1993,5,LVA
63.7428,1993,6,LVA
107.791,1993,7,LVA
101.53,1993,8,LVA
70.3489,1993,9,LVA
61.5399,1993,10,LVA
7.24751,1993,11,LVA
70.9767,1993,12,LVA
59.5864,1994,1,LVA
19.4519,1994,2,LVA
68.3301,1994,3,LVA
53.2977,1994,4,LVA
57.8733,1994,5,LVA
62.8712,1994,6,LVA
13.3743,1994,7,LVA
73.5113,1994,8,LVA
83.0612,1994,9,LVA
58.5387,1994,10,LVA
59.4664,1994,11,LVA
56.3602,1994,12,LVA
51.9328,1995,1,LVA
49.613,1995,2,LVA
58.4419,1995,3,LVA
41.6686,1995,4,LVA
72.2406,1995,5,LVA
93.6183,1995,6,LVA
48.9164,1995,7,LVA
57.6013,1995,8,LVA
60.1071,1995,9,LVA
54.5068,1995,10,LVA
44.2449,1995,11,LVA
31.7132,1995,12,LVA
29.4882,1996,1,LVA
38.2747,1996,2,LVA
15.7024,1996,3,LVA
20.4626,1996,4,LVA
73.7999,1996,5,LVA
48.4606,1996,6,LVA
84.969,1996,7,LVA
10.6011,1996,8,LVA
54.796,1996,9,LVA
60.7386,1996,10,LVA
71.6936,1996,11,LVA
55.1275,1996,12,LVA
31.5999,1997,1,LVA
46.4004,1997,2,LVA
25.3067,1997,3,LVA
56.0175,1997,4,LVA
54.946,1997,5,LVA
99.04,1997,6,LVA
52.7981,1997,7,LVA
15.4699,1997,8,LVA
90.2508,1997,9,LVA
123.564,1997,10,LVA
59.9746,1997,11,LVA
48.6636,1997,12,LVA
51.6012,1998,1,LVA
53.7911,1998,2,LVA
30.5314,1998,3,LVA
32.4974,1998,4,LVA
65.3833,1998,5,LVA
105.451,1998,6,LVA
96.2798,1998,7,LVA
104.689,1998,8,LVA
39.8102,1998,9,LVA
79.5674,1998,10,LVA
26.9198,1998,11,LVA
51.0018,1998,12,LVA
73.0705,1999,1,LVA
50.6911,1999,2,LVA
30.4643,1999,3,LVA
32.4495,1999,4,LVA
30.7248,1999,5,LVA
46.4855,1999,6,LVA
34.1551,1999,7,LVA
59.1412,1999,8,LVA
46.8487,1999,9,LVA
104.03,1999,10,LVA
25.4352,1999,11,LVA
79.0241,1999,12,LVA
39.1012,2000,1,LVA
34.5351,2000,2,LVA
56.3302,2000,3,LVA
30.1979,2000,4,LVA
39.2277,2000,5,LVA
54.267,2000,6,LVA
133.459,2000,7,LVA
78.2348,2000,8,LVA
25.1767,2000,9,LVA
41.4265,2000,10,LVA
72.1332,2000,11,LVA
45.3513,2000,12,LVA
40.0997,2001,1,LVA
52.6998,2001,2,LVA
33.4442,2001,3,LVA
63.0563,2001,4,LVA
41.8983,2001,5,LVA
93.1411,2001,6,LVA
106.096,2001,7,LVA
86.0124,2001,8,LVA
75.4336,2001,9,LVA
64.9935,2001,10,LVA
82.4594,2001,11,LVA
44.655,2001,12,LVA
63.7161,2002,1,LVA
63.2489,2002,2,LVA
39.606,2002,3,LVA
21.7196,2002,4,LVA
29.8558,2002,5,LVA
89.6199,2002,6,LVA
50.7582,2002,7,LVA
7.91714,2002,8,LVA
40.9516,2002,9,LVA
78.6306,2002,10,LVA
57.8268,2002,11,LVA
31.6183,2002,12,LVA
39.5415,2003,1,LVA
18.201,2003,2,LVA
13.6212,2003,3,LVA
45.6962,2003,4,LVA
73.0281,2003,5,LVA
54.0968,2003,6,LVA
65.7999,2003,7,LVA
106.912,2003,8,LVA
27.431,2003,9,LVA
70.3292,2003,10,LVA
60.8789,2003,11,LVA
59.5499,2003,12,LVA
31.29,2004,1,LVA
48.9523,2004,2,LVA
51.0121,2004,3,LVA
10.3088,2004,4,LVA
34.2262,2004,5,LVA
107.458,2004,6,LVA
80.4164,2004,7,LVA
63.1805,2004,8,LVA
73.9783,2004,9,LVA
87.4094,2004,10,LVA
50.4216,2004,11,LVA
54.9213,2004,12,LVA
56.1876,2005,1,LVA
21.5813,2005,2,LVA
35.8147,2005,3,LVA
19.0272,2005,4,LVA
86.1724,2005,5,LVA
75.4206,2005,6,LVA
59.6857,2005,7,LVA
111.952,2005,8,LVA
38.4775,2005,9,LVA
44.9426,2005,10,LVA
47.832,2005,11,LVA
47.9981,2005,12,LVA
17.3967,2006,1,LVA
27.9556,2006,2,LVA
30.8322,2006,3,LVA
31.1246,2006,4,LVA
48.8303,2006,5,LVA
43.5687,2006,6,LVA
32.5306,2006,7,LVA
110.12,2006,8,LVA
48.6361,2006,9,LVA
77.1864,2006,10,LVA
64.7835,2006,11,LVA
44.5343,2006,12,LVA
89.4604,2007,1,LVA
31.9489,2007,2,LVA
29.5366,2007,3,LVA
23.9994,2007,4,LVA
59.2912,2007,5,LVA
62.506,2007,6,LVA
102.454,2007,7,LVA
51.2694,2007,8,LVA
64.4409,2007,9,LVA
91.6894,2007,10,LVA
69.8247,2007,11,LVA
34.3466,2007,12,LVA
45.718,2008,1,LVA
46.7966,2008,2,LVA
72.6393,2008,3,LVA
44.4361,2008,4,LVA
28.739,2008,5,LVA
59.5886,2008,6,LVA
57.1185,2008,7,LVA
111.782,2008,8,LVA
31.9764,2008,9,LVA
91.6123,2008,10,LVA
61.1601,2008,11,LVA
50.4891,2008,12,LVA
50.6647,2009,1,LVA
32.8116,2009,2,LVA
47.8726,2009,3,LVA
7.26291,2009,4,LVA
23.0578,2009,5,LVA
114.834,2009,6,LVA
99.495,2009,7,LVA
55.5349,2009,8,LVA
62.5057,2009,9,LVA
106.407,2009,10,LVA
56.9228,2009,11,LVA
78.1321,2009,12,LVA
21.2943,2010,1,LVA
47.181,2010,2,LVA
46.7172,2010,3,LVA
29.4049,2010,4,LVA
68.3314,2010,5,LVA
70.2785,2010,6,LVA
101.102,2010,7,LVA
118.962,2010,8,LVA
100.354,2010,9,LVA
45.886,2010,10,LVA
86.5531,2010,11,LVA
89.9413,2010,12,LVA
59.5347,2011,1,LVA
27.7261,2011,2,LVA
15.3732,2011,3,LVA
20.7446,2011,4,LVA
56.8375,2011,5,LVA
46.6154,2011,6,LVA
106.283,2011,7,LVA
95.635,2011,8,LVA
46.8863,2011,9,LVA
40.8888,2011,10,LVA
22.4602,2011,11,LVA
