pr,"	Year", Month, Country
17.7252,1991,1,POL
21.7823,1991,2,POL
19.0642,1991,3,POL
34.9714,1991,4,POL
63.0297,1991,5,POL
90.1948,1991,6,POL
49.0269,1991,7,POL
62.0022,1991,8,POL
40.8717,1991,9,POL
33.9154,1991,10,POL
50.6831,1991,11,POL
41.5862,1991,12,POL
24.319,1992,1,POL
31.2591,1992,2,POL
55.442,1992,3,POL
38.3313,1992,4,POL
35.8715,1992,5,POL
38.1565,1992,6,POL
47.1192,1992,7,POL
45.3275,1992,8,POL
69.9246,1992,9,POL
54.6013,1992,10,POL
50.6637,1992,11,POL
39.2676,1992,12,POL
44.0547,1993,1,POL
27.0867,1993,2,POL
32.1656,1993,3,POL
18.3048,1993,4,POL
42.3847,1993,5,POL
73.9085,1993,6,POL
93.9839,1993,7,POL
62.8314,1993,8,POL
64.7025,1993,9,POL
28.8729,1993,10,POL
27.551,1993,11,POL
63.4495,1993,12,POL
51.4881,1994,1,POL
16.7786,1994,2,POL
65.5262,1994,3,POL
63.7201,1994,4,POL
62.2109,1994,5,POL
36.8496,1994,6,POL
24.4069,1994,7,POL
70.2631,1994,8,POL
67.1871,1994,9,POL
56.9915,1994,10,POL
34.2464,1994,11,POL
54.7052,1994,12,POL
32.5296,1995,1,POL
38.1677,1995,2,POL
39.4788,1995,3,POL
42.8006,1995,4,POL
51.7322,1995,5,POL
85.8099,1995,6,POL
50.1785,1995,7,POL
70.2601,1995,8,POL
82.2239,1995,9,POL
15.4999,1995,10,POL
31.8035,1995,11,POL
24.8446,1995,12,POL
12.2777,1996,1,POL
28.3602,1996,2,POL
16.2953,1996,3,POL
30.0208,1996,4,POL
85.1992,1996,5,POL
49.188,1996,6,POL
99.8343,1996,7,POL
76.1273,1996,8,POL
69.5323,1996,9,POL
39.4357,1996,10,POL
31.142,1996,11,POL
14.996,1996,12,POL
7.46181,1997,1,POL
32.7623,1997,2,POL
24.6439,1997,3,POL
38.1774,1997,4,POL
70.7649,1997,5,POL
61.6515,1997,6,POL
156.013,1997,7,POL
41.5365,1997,8,POL
42.9433,1997,9,POL
62.5602,1997,10,POL
39.3016,1997,11,POL
39.7273,1997,12,POL
36.7687,1998,1,POL
33.1995,1998,2,POL
42.4577,1998,3,POL
58.7808,1998,4,POL
48.0025,1998,5,POL
97.963,1998,6,POL
88.7967,1998,7,POL
75.9823,1998,8,POL
56.3123,1998,9,POL
73.9495,1998,10,POL
40.6482,1998,11,POL
34.7491,1998,12,POL
27.9802,1999,1,POL
44.0462,1999,2,POL
33.6325,1999,3,POL
69.6799,1999,4,POL
49.9221,1999,5,POL
110.58,1999,6,POL
62.8434,1999,7,POL
48.799,1999,8,POL
31.7998,1999,9,POL
50.3827,1999,10,POL
38.8321,1999,11,POL
43.3429,1999,12,POL
36.9088,2000,1,POL
39.6078,2000,2,POL
64.9372,2000,3,POL
30.0219,2000,4,POL
50.1147,2000,5,POL
46.86,2000,6,POL
139.167,2000,7,POL
59.308,2000,8,POL
49.0142,2000,9,POL
15.4719,2000,10,POL
48.3276,2000,11,POL
41.8055,2000,12,POL
30.3612,2001,1,POL
24.4356,2001,2,POL
46.7991,2001,3,POL
62.3577,2001,4,POL
47.0852,2001,5,POL
81.9332,2001,6,POL
136.938,2001,7,POL
60.9544,2001,8,POL
108.533,2001,9,POL
27.6875,2001,10,POL
41.5923,2001,11,POL
35.8123,2001,12,POL
38.2007,2002,1,POL
54.8618,2002,2,POL
37.1203,2002,3,POL
25.8403,2002,4,POL
59.8524,2002,5,POL
72.8951,2002,6,POL
72.8965,2002,7,POL
68.4282,2002,8,POL
46.3168,2002,9,POL
94.1013,2002,10,POL
36.8303,2002,11,POL
17.2536,2002,12,POL
34.8207,2003,1,POL
10.1063,2003,2,POL
16.2287,2003,3,POL
29.684,2003,4,POL
52.953,2003,5,POL
40.7066,2003,6,POL
100.894,2003,7,POL
37.4403,2003,8,POL
38.7654,2003,9,POL
58.4195,2003,10,POL
26.8679,2003,11,POL
42.1107,2003,12,POL
36.7553,2004,1,POL
48.5605,2004,2,POL
39.4488,2004,3,POL
36.3355,2004,4,POL
56.6778,2004,5,POL
62.7351,2004,6,POL
87.0187,2004,7,POL
71.8141,2004,8,POL
29.3301,2004,9,POL
48.2276,2004,10,POL
55.5655,2004,11,POL
28.8471,2004,12,POL
44.2081,2005,1,POL
35.7275,2005,2,POL
30.3076,2005,3,POL
27.1194,2005,4,POL
71.3614,2005,5,POL
46.1309,2005,6,POL
85.7443,2005,7,POL
65.0808,2005,8,POL
34.6282,2005,9,POL
11.8984,2005,10,POL
29.9925,2005,11,POL
76.0987,2005,12,POL
18.3747,2006,1,POL
30.4641,2006,2,POL
32.3954,2006,3,POL
41.9205,2006,4,POL
58.7834,2006,5,POL
56.4593,2006,6,POL
23.7402,2006,7,POL
143.142,2006,8,POL
32.1447,2006,9,POL
33.844,2006,10,POL
56.3513,2006,11,POL
30.0663,2006,12,POL
75.2298,2007,1,POL
37.1614,2007,2,POL
40.187,2007,3,POL
15.9412,2007,4,POL
66.1458,2007,5,POL
86.2169,2007,6,POL
110.782,2007,7,POL
60.7323,2007,8,POL
73.6467,2007,9,POL
31.99,2007,10,POL
47.8352,2007,11,POL
23.5446,2007,12,POL
52.6902,2008,1,POL
23.2287,2008,2,POL
53.8853,2008,3,POL
49.9046,2008,4,POL
40.3265,2008,5,POL
39.5273,2008,6,POL
84.9725,2008,7,POL
88.613,2008,8,POL
50.0515,2008,9,POL
51.8987,2008,10,POL
32.7441,2008,11,POL
34.0154,2008,12,POL
25.3157,2009,1,POL
35.2214,2009,2,POL
58.6699,2009,3,POL
8.58084,2009,4,POL
74.2339,2009,5,POL
116.749,2009,6,POL
92.6043,2009,7,POL
55.4798,2009,8,POL
33.6863,2009,9,POL
81.1551,2009,10,POL
48.3288,2009,11,POL
44.0473,2009,12,POL
35.4176,2010,1,POL
26.1761,2010,2,POL
32.147,2010,3,POL
32.826,2010,4,POL
131.289,2010,5,POL
68.1144,2010,6,POL
97.9735,2010,7,POL
129.031,2010,8,POL
87.7545,2010,9,POL
14.6247,2010,10,POL
87.6305,2010,11,POL
51.3968,2010,12,POL
32.3345,2011,1,POL
26.7,2011,2,POL
20.1513,2011,3,POL
32.1518,2011,4,POL
46.0965,2011,5,POL
64.9717,2011,6,POL
159.48,2011,7,POL
59.2564,2011,8,POL
29.9401,2011,9,POL
30.2199,2011,10,POL
3.41573,2011,11,POL
41.6995,2011,12,POL
59.054,2012,1,POL
33.1647,2012,2,POL
19.6501,2012,3,POL
40.4406,2012,4,POL
43.4518,2012,5,POL
92.268,2012,6,POL
92.5293,2012,7,POL
56.1219,2012,8,POL
42.9747,2012,9,POL
60.8569,2012,10,POL
40.7806,2012,11,POL
31.9988,2012,12,POL
55.5417,2013,1,POL
33.5438,2013,2,POL
39.5819,2013,3,POL
34.0232,2013,4,POL
94.4841,2013,5,POL
107.987,2013,6,POL
54.5502,2013,7,POL
49.5906,2013,8,POL
88.7347,2013,9,POL
21.648,2013,10,POL
41.8349,2013,11,POL
25.0237,2013,12,POL
43.3341,2014,1,POL
17.0301,2014,2,POL
35.338,2014,3,POL
42.5974,2014,4,POL
92.0857,2014,5,POL
62.8975,2014,6,POL
81.989,2014,7,POL
87.3913,2014,8,POL
46.6807,2014,9,POL
