pr,"	Year", Month, Country
25.4282,1901,1,GHA
104.243,1901,2,GHA
55.6485,1901,3,GHA
124.062,1901,4,GHA
145.539,1901,5,GHA
144.26,1901,6,GHA
114.983,1901,7,GHA
155.713,1901,8,GHA
196.422,1901,9,GHA
169.151,1901,10,GHA
47.3937,1901,11,GHA
20.5969,1901,12,GHA
3.41913,1902,1,GHA
45.8265,1902,2,GHA
93.7311,1902,3,GHA
169.631,1902,4,GHA
199.375,1902,5,GHA
176.891,1902,6,GHA
129.819,1902,7,GHA
108.21,1902,8,GHA
109.324,1902,9,GHA
81.2659,1902,10,GHA
46.4521,1902,11,GHA
9.67522,1902,12,GHA
10.4485,1903,1,GHA
59.9561,1903,2,GHA
51.3324,1903,3,GHA
90.7967,1903,4,GHA
158.518,1903,5,GHA
163.511,1903,6,GHA
103.764,1903,7,GHA
129.852,1903,8,GHA
138.91,1903,9,GHA
105.723,1903,10,GHA
59.766,1903,11,GHA
18.4997,1903,12,GHA
5.73905,1904,1,GHA
15.1589,1904,2,GHA
55.2212,1904,3,GHA
75.1012,1904,4,GHA
146.978,1904,5,GHA
187.461,1904,6,GHA
118.241,1904,7,GHA
71.277,1904,8,GHA
150.781,1904,9,GHA
101.91,1904,10,GHA
27.3436,1904,11,GHA
20.6123,1904,12,GHA
7.83049,1905,1,GHA
15.7408,1905,2,GHA
51.6197,1905,3,GHA
81.7857,1905,4,GHA
142.981,1905,5,GHA
132.513,1905,6,GHA
107.937,1905,7,GHA
156.007,1905,8,GHA
140.69,1905,9,GHA
81.3933,1905,10,GHA
84.1833,1905,11,GHA
17.6929,1905,12,GHA
8.632,1906,1,GHA
16.2567,1906,2,GHA
48.237,1906,3,GHA
152.14,1906,4,GHA
204.541,1906,5,GHA
223.538,1906,6,GHA
114.862,1906,7,GHA
109.818,1906,8,GHA
186.548,1906,9,GHA
195.957,1906,10,GHA
78.5682,1906,11,GHA
24.0794,1906,12,GHA
6.6186,1907,1,GHA
15.2812,1907,2,GHA
70.0301,1907,3,GHA
102.175,1907,4,GHA
138.464,1907,5,GHA
205.445,1907,6,GHA
125.755,1907,7,GHA
49.5515,1907,8,GHA
207.652,1907,9,GHA
113.81,1907,10,GHA
