pr,"	Year", Month, Country
139.667,1991,1,BLZ
29.2131,1991,2,BLZ
28.1212,1991,3,BLZ
24.1704,1991,4,BLZ
259.938,1991,5,BLZ
195.033,1991,6,BLZ
169.136,1991,7,BLZ
217.221,1991,8,BLZ
312.622,1991,9,BLZ
171.79,1991,10,BLZ
173.689,1991,11,BLZ
290.077,1991,12,BLZ
107.992,1992,1,BLZ
19.6275,1992,2,BLZ
62.4893,1992,3,BLZ
102.022,1992,4,BLZ
91.5769,1992,5,BLZ
273.631,1992,6,BLZ
323.469,1992,7,BLZ
236.076,1992,8,BLZ
233.532,1992,9,BLZ
299.552,1992,10,BLZ
203.994,1992,11,BLZ
150.01,1992,12,BLZ
100.378,1993,1,BLZ
55.5336,1993,2,BLZ
72.4319,1993,3,BLZ
123.199,1993,4,BLZ
223.947,1993,5,BLZ
298.995,1993,6,BLZ
199.01,1993,7,BLZ
411.819,1993,8,BLZ
369.842,1993,9,BLZ
233.125,1993,10,BLZ
183.65,1993,11,BLZ
147.598,1993,12,BLZ
217.891,1994,1,BLZ
40.5548,1994,2,BLZ
51.7731,1994,3,BLZ
49.6751,1994,4,BLZ
120.604,1994,5,BLZ
141.75,1994,6,BLZ
167.187,1994,7,BLZ
195.199,1994,8,BLZ
435.686,1994,9,BLZ
94.4329,1994,10,BLZ
205.572,1994,11,BLZ
93.7639,1994,12,BLZ
105.961,1995,1,BLZ
69.3167,1995,2,BLZ
46.6141,1995,3,BLZ
135.321,1995,4,BLZ
27.3909,1995,5,BLZ
242.408,1995,6,BLZ
350.482,1995,7,BLZ
374.62,1995,8,BLZ
368.481,1995,9,BLZ
329.589,1995,10,BLZ
158.568,1995,11,BLZ
106.12,1995,12,BLZ
98.8816,1996,1,BLZ
35.3516,1996,2,BLZ
49.7322,1996,3,BLZ
112.346,1996,4,BLZ
169.088,1996,5,BLZ
157.013,1996,6,BLZ
287.875,1996,7,BLZ
330.908,1996,8,BLZ
148.616,1996,9,BLZ
206.673,1996,10,BLZ
277.912,1996,11,BLZ
93.2166,1996,12,BLZ
69.6357,1997,1,BLZ
92.8791,1997,2,BLZ
31.2168,1997,3,BLZ
56.3359,1997,4,BLZ
102.398,1997,5,BLZ
205.696,1997,6,BLZ
245.393,1997,7,BLZ
262.762,1997,8,BLZ
311.514,1997,9,BLZ
199.693,1997,10,BLZ
356.728,1997,11,BLZ
68.101,1997,12,BLZ
156.913,1998,1,BLZ
10.1433,1998,2,BLZ
33.8305,1998,3,BLZ
55.4758,1998,4,BLZ
135.806,1998,5,BLZ
193.906,1998,6,BLZ
286.755,1998,7,BLZ
234.751,1998,8,BLZ
198.063,1998,9,BLZ
568.144,1998,10,BLZ
279.071,1998,11,BLZ
118.344,1998,12,BLZ
154.023,1999,1,BLZ
78.6611,1999,2,BLZ
21.3152,1999,3,BLZ
67.9835,1999,4,BLZ
82.4917,1999,5,BLZ
233.036,1999,6,BLZ
303.747,1999,7,BLZ
244.073,1999,8,BLZ
291.921,1999,9,BLZ
177.265,1999,10,BLZ
188.768,1999,11,BLZ
71.9262,1999,12,BLZ
56.9678,2000,1,BLZ
15.0845,2000,2,BLZ
12.6582,2000,3,BLZ
43.6495,2000,4,BLZ
245.642,2000,5,BLZ
201.229,2000,6,BLZ
185.674,2000,7,BLZ
354.138,2000,8,BLZ
277.888,2000,9,BLZ
339.301,2000,10,BLZ
140.014,2000,11,BLZ
72.8293,2000,12,BLZ
40.3444,2001,1,BLZ
96.4828,2001,2,BLZ
13.4801,2001,3,BLZ
35.7583,2001,4,BLZ
308.983,2001,5,BLZ
94.2545,2001,6,BLZ
231.123,2001,7,BLZ
322.21,2001,8,BLZ
398.08,2001,9,BLZ
366.6,2001,10,BLZ
65.9018,2001,11,BLZ
168.527,2001,12,BLZ
74.3636,2002,1,BLZ
67.0095,2002,2,BLZ
64.0635,2002,3,BLZ
15.0932,2002,4,BLZ
218.744,2002,5,BLZ
335.107,2002,6,BLZ
229.224,2002,7,BLZ
198.152,2002,8,BLZ
210.209,2002,9,BLZ
323.912,2002,10,BLZ
118.933,2002,11,BLZ
126.71,2002,12,BLZ
74.0228,2003,1,BLZ
33.9913,2003,2,BLZ
30.8566,2003,3,BLZ
35.2184,2003,4,BLZ
166.321,2003,5,BLZ
197.692,2003,6,BLZ
233.043,2003,7,BLZ
141.072,2003,8,BLZ
174.993,2003,9,BLZ
259.545,2003,10,BLZ
246.008,2003,11,BLZ
70.566,2003,12,BLZ
80.0093,2004,1,BLZ
73.9714,2004,2,BLZ
112.064,2004,3,BLZ
41.7762,2004,4,BLZ
316.724,2004,5,BLZ
108.043,2004,6,BLZ
235.69,2004,7,BLZ
82.2496,2004,8,BLZ
213.044,2004,9,BLZ
261.949,2004,10,BLZ
168.234,2004,11,BLZ
79.8747,2004,12,BLZ
90.227,2005,1,BLZ
15.647,2005,2,BLZ
33.7986,2005,3,BLZ
82.7258,2005,4,BLZ
79.2162,2005,5,BLZ
393.608,2005,6,BLZ
172.846,2005,7,BLZ
349.525,2005,8,BLZ
259.111,2005,9,BLZ
258.841,2005,10,BLZ
130.558,2005,11,BLZ
136.874,2005,12,BLZ
279.917,2006,1,BLZ
55.8373,2006,2,BLZ
12.677,2006,3,BLZ
39.373,2006,4,BLZ
331.653,2006,5,BLZ
518.194,2006,6,BLZ
367.537,2006,7,BLZ
220.319,2006,8,BLZ
222.296,2006,9,BLZ
343.349,2006,10,BLZ
244.115,2006,11,BLZ
179.183,2006,12,BLZ
188.462,2007,1,BLZ
32.2501,2007,2,BLZ
50.7821,2007,3,BLZ
33.3159,2007,4,BLZ
163.246,2007,5,BLZ
139.017,2007,6,BLZ
126.583,2007,7,BLZ
488.578,2007,8,BLZ
279.187,2007,9,BLZ
234.401,2007,10,BLZ
148.603,2007,11,BLZ
62.4795,2007,12,BLZ
117.586,2008,1,BLZ
106.238,2008,2,BLZ
77.5418,2008,3,BLZ
25.5607,2008,4,BLZ
188.309,2008,5,BLZ
397.442,2008,6,BLZ
215.218,2008,7,BLZ
165.321,2008,8,BLZ
264.034,2008,9,BLZ
506.107,2008,10,BLZ
30.6852,2008,11,BLZ
50.8291,2008,12,BLZ
161.094,2009,1,BLZ
76.2243,2009,2,BLZ
24.1169,2009,3,BLZ
30.354,2009,4,BLZ
82.5601,2009,5,BLZ
179.439,2009,6,BLZ
197.958,2009,7,BLZ
229.079,2009,8,BLZ
256.259,2009,9,BLZ
126.988,2009,10,BLZ
153.689,2009,11,BLZ
145.008,2009,12,BLZ
116.284,2010,1,BLZ
40.322,2010,2,BLZ
26.156,2010,3,BLZ
71.7883,2010,4,BLZ
319.089,2010,5,BLZ
209.459,2010,6,BLZ
436.31,2010,7,BLZ
305.205,2010,8,BLZ
308.935,2010,9,BLZ
132.166,2010,10,BLZ
197.08,2010,11,BLZ
54.7491,2010,12,BLZ
107.316,2011,1,BLZ
72.6702,2011,2,BLZ
76.932,2011,3,BLZ
24.8177,2011,4,BLZ
43.8438,2011,5,BLZ
318.303,2011,6,BLZ
354.31,2011,7,BLZ
230.872,2011,8,BLZ
297.054,2011,9,BLZ
395.909,2011,10,BLZ
51.8916,2011,11,BLZ
85.7963,2011,12,BLZ
132.382,2012,1,BLZ
39.4245,2012,2,BLZ
56.2434,2012,3,BLZ
94.0143,2012,4,BLZ
342.23,2012,5,BLZ
350.784,2012,6,BLZ
223.41,2012,7,BLZ
254.728,2012,8,BLZ
113.068,2012,9,BLZ
282.356,2012,10,BLZ
59.0743,2012,11,BLZ
75.129,2012,12,BLZ
110.932,2013,1,BLZ
53.4386,2013,2,BLZ
58.3915,2013,3,BLZ
26.3919,2013,4,BLZ
220.609,2013,5,BLZ
379.32,2013,6,BLZ
334.085,2013,7,BLZ
437.549,2013,8,BLZ
316.844,2013,9,BLZ
342.441,2013,10,BLZ
264.92,2013,11,BLZ
190.418,2013,12,BLZ
129.716,2014,1,BLZ
43.0446,2014,2,BLZ
65.5793,2014,3,BLZ
31.2623,2014,4,BLZ
310.517,2014,5,BLZ
145.252,2014,6,BLZ
148.009,2014,7,BLZ
184.207,2014,8,BLZ
315.107,2014,9,BLZ
349.36,2014,10,BLZ
274.109,2014,11,BLZ
63.5885,2014,12,BLZ
140.797,2015,1,BLZ
21.1534,2015,2,BLZ
82.9033,2015,3,BLZ
74.7901,2015,4,BLZ
85.6839,2015,5,BLZ
345.17,2015,6,BLZ
84.2465,2015,7,BLZ
149.187,2015,8,BLZ
212.697,2015,9,BLZ
299.797,2015,10,BLZ
276.751,2015,11,BLZ
154.819,2015,12,BLZ
29.2698,1991,1,BTN
14.3209,1991,2,BTN
35.65,1991,3,BTN
69.3669,1991,4,BTN
235.693,1991,5,BTN
408.253,1991,6,BTN
325.259,1991,7,BTN
470.116,1991,8,BTN
387.118,1991,9,BTN
130.689,1991,10,BTN
1.27252,1991,11,BTN
11.6428,1991,12,BTN
7.08284,1992,1,BTN
9.00419,1992,2,BTN
27.2676,1992,3,BTN
102.464,1992,4,BTN
211.624,1992,5,BTN
328.121,1992,6,BTN
461.002,1992,7,BTN
431.597,1992,8,BTN
238.231,1992,9,BTN
60.8968,1992,10,BTN
2.32434,1992,11,BTN
5.6506,1992,12,BTN
35.5011,1993,1,BTN
16.6399,1993,2,BTN
41.8582,1993,3,BTN
120.819,1993,4,BTN
210.82,1993,5,BTN
378.018,1993,6,BTN
334.529,1993,7,BTN
446.138,1993,8,BTN
307.12,1993,9,BTN
22.1389,1993,10,BTN
8.88581,1993,11,BTN
0.16381,1993,12,BTN
23.3803,1994,1,BTN
13.5093,1994,2,BTN
39.6112,1994,3,BTN
140.439,1994,4,BTN
131.768,1994,5,BTN
379.89,1994,6,BTN
