pr,"	Year", Month, Country
145.235,1991,1,PSE
58.1779,1991,2,PSE
91.2426,1991,3,PSE
13.7804,1991,4,PSE
0.9635,1991,5,PSE
0.00443,1991,6,PSE
0.14207,1991,7,PSE
0.0108,1991,8,PSE
0.3578,1991,9,PSE
9.5179,1991,10,PSE
109.456,1991,11,PSE
244.698,1991,12,PSE
162.383,1992,1,PSE
201.542,1992,2,PSE
30.1401,1992,3,PSE
2.90609,1992,4,PSE
4.57232,1992,5,PSE
0.05521,1992,6,PSE
0.21387,1992,7,PSE
0.01095,1992,8,PSE
0.06475,1992,9,PSE
0.1563,1992,10,PSE
63.6808,1992,11,PSE
201.133,1992,12,PSE
102.882,1993,1,PSE
88.1196,1993,2,PSE
28.7639,1993,3,PSE
0.47348,1993,4,PSE
7.01605,1993,5,PSE
0.00755,1993,6,PSE
0.03568,1993,7,PSE
0.0108,1993,8,PSE
0.00036,1993,9,PSE
12.7646,1993,10,PSE
24.3011,1993,11,PSE
58.5703,1993,12,PSE
116.414,1994,1,PSE
75.1738,1994,2,PSE
58.5416,1994,3,PSE
9.50666,1994,4,PSE
3.03206,1994,5,PSE
0.00443,1994,6,PSE
0.03272,1994,7,PSE
0.0108,1994,8,PSE
0.04068,1994,9,PSE
12.0581,1994,10,PSE
205.965,1994,11,PSE
145.72,1994,12,PSE
25.3769,1995,1,PSE
84.1901,1995,2,PSE
23.7914,1995,3,PSE
16.9026,1995,4,PSE
0.87962,1995,5,PSE
0.00443,1995,6,PSE
0.22798,1995,7,PSE
0.0108,1995,8,PSE
0.00106,1995,9,PSE
0.38197,1995,10,PSE
65.4578,1995,11,PSE
34.1057,1995,12,PSE
127.978,1996,1,PSE
32.6255,1996,2,PSE
99.3467,1996,3,PSE
14.7259,1996,4,PSE
0.02763,1996,5,PSE
0.00469,1996,6,PSE
0.03272,1996,7,PSE
0.0108,1996,8,PSE
0.36881,1996,9,PSE
27.113,1996,10,PSE
10.893,1996,11,PSE
47.1675,1996,12,PSE
97.9767,1997,1,PSE
111.322,1997,2,PSE
84.9142,1997,3,PSE
9.95712,1997,4,PSE
3.93571,1997,5,PSE
0.00443,1997,6,PSE
0.03272,1997,7,PSE
0.0108,1997,8,PSE
0.85438,1997,9,PSE
25.2414,1997,10,PSE
48.5599,1997,11,PSE
94.9766,1997,12,PSE
91.0608,1998,1,PSE
57.0672,1998,2,PSE
89.7343,1998,3,PSE
