pr,"	Year", Month, Country
119.528,1901,1,SGP
140.711,1901,2,SGP
108.557,1901,3,SGP
150.44,1901,4,SGP
116.352,1901,5,SGP
185.376,1901,6,SGP
178.135,1901,7,SGP
109.332,1901,8,SGP
173.322,1901,9,SGP
235.486,1901,10,SGP
284.057,1901,11,SGP
307.137,1901,12,SGP
447.544,1902,1,SGP
223.418,1902,2,SGP
123.738,1902,3,SGP
208.037,1902,4,SGP
115.647,1902,5,SGP
84.4898,1902,6,SGP
47.2101,1902,7,SGP
75.9169,1902,8,SGP
88.7525,1902,9,SGP
157.683,1902,10,SGP
121.101,1902,11,SGP
323.376,1902,12,SGP
620.949,1903,1,SGP
281.149,1903,2,SGP
126.691,1903,3,SGP
163.235,1903,4,SGP
175.188,1903,5,SGP
119.54,1903,6,SGP
170.471,1903,7,SGP
296.661,1903,8,SGP
160.171,1903,9,SGP
210.132,1903,10,SGP
181.41,1903,11,SGP
327.528,1903,12,SGP
529,1904,1,SGP
78.9847,1904,2,SGP
79.0457,1904,3,SGP
207.222,1904,4,SGP
60.1118,1904,5,SGP
150.659,1904,6,SGP
126.51,1904,7,SGP
212.833,1904,8,SGP
143.196,1904,9,SGP
268.81,1904,10,SGP
230.701,1904,11,SGP
368.535,1904,12,SGP
165.066,1905,1,SGP
227.996,1905,2,SGP
175.483,1905,3,SGP
190.067,1905,4,SGP
256.161,1905,5,SGP
94.2881,1905,6,SGP
157.998,1905,7,SGP
178.761,1905,8,SGP
156.655,1905,9,SGP
191.55,1905,10,SGP
328.696,1905,11,SGP
281.684,1905,12,SGP
318.471,1906,1,SGP
202.684,1906,2,SGP
219.083,1906,3,SGP
140.5,1906,4,SGP
135.988,1906,5,SGP
217.215,1906,6,SGP
145.571,1906,7,SGP
220.874,1906,8,SGP
157.981,1906,9,SGP
296.291,1906,10,SGP
198.483,1906,11,SGP
470.076,1906,12,SGP
74.6152,1907,1,SGP
110.21,1907,2,SGP
187.045,1907,3,SGP
132.85,1907,4,SGP
166.205,1907,5,SGP
184.276,1907,6,SGP
149.676,1907,7,SGP
88.4372,1907,8,SGP
169.138,1907,9,SGP
252.501,1907,10,SGP
180.349,1907,11,SGP
188.381,1907,12,SGP
159.91,1908,1,SGP
187.806,1908,2,SGP
147.764,1908,3,SGP
141.089,1908,4,SGP
106.601,1908,5,SGP
126.947,1908,6,SGP
80.0067,1908,7,SGP
154.552,1908,8,SGP
147.384,1908,9,SGP
193.637,1908,10,SGP
184.072,1908,11,SGP
556.688,1908,12,SGP
385.522,1909,1,SGP
220.8,1909,2,SGP
260.454,1909,3,SGP
221.169,1909,4,SGP
101.491,1909,5,SGP
175.623,1909,6,SGP
94.1694,1909,7,SGP
241.049,1909,8,SGP
107.177,1909,9,SGP
205.484,1909,10,SGP
226.632,1909,11,SGP
258.888,1909,12,SGP
173.452,1910,1,SGP
401.847,1910,2,SGP
161.115,1910,3,SGP
94.6999,1910,4,SGP
113.123,1910,5,SGP
158.827,1910,6,SGP
116.108,1910,7,SGP
322.7,1910,8,SGP
162.059,1910,9,SGP
271.171,1910,10,SGP
205.127,1910,11,SGP
237.518,1910,12,SGP
471.24,1911,1,SGP
45.8898,1911,2,SGP
53.9118,1911,3,SGP
155.55,1911,4,SGP
250.198,1911,5,SGP
76.7525,1911,6,SGP
68.383,1911,7,SGP
132.811,1911,8,SGP
194.179,1911,9,SGP
292.432,1911,10,SGP
381.094,1911,11,SGP
236.067,1911,12,SGP
122.705,1912,1,SGP
437.069,1912,2,SGP
52.3508,1912,3,SGP
208.691,1912,4,SGP
232.272,1912,5,SGP
189.284,1912,6,SGP
92.4627,1912,7,SGP
240.662,1912,8,SGP
142.362,1912,9,SGP
219.432,1912,10,SGP
207.137,1912,11,SGP
392.745,1912,12,SGP
592.537,1913,1,SGP
172.83,1913,2,SGP
472.54,1913,3,SGP
256.952,1913,4,SGP
188.298,1913,5,SGP
260.381,1913,6,SGP
101.037,1913,7,SGP
101.954,1913,8,SGP
196.135,1913,9,SGP
220.776,1913,10,SGP
392.137,1913,11,SGP
213.671,1913,12,SGP
719.962,1914,1,SGP
63.7542,1914,2,SGP
198.93,1914,3,SGP
299.567,1914,4,SGP
153.133,1914,5,SGP
191.708,1914,6,SGP
92.5711,1914,7,SGP
48.622,1914,8,SGP
75.8101,1914,9,SGP
179.452,1914,10,SGP
262.991,1914,11,SGP
201.791,1914,12,SGP
270.367,1915,1,SGP
129.542,1915,2,SGP
135.322,1915,3,SGP
236.984,1915,4,SGP
103.864,1915,5,SGP
160.169,1915,6,SGP
186.138,1915,7,SGP
123.942,1915,8,SGP
170.75,1915,9,SGP
249.367,1915,10,SGP
280.691,1915,11,SGP
375.855,1915,12,SGP
110.367,1916,1,SGP
16.4966,1916,2,SGP
263.411,1916,3,SGP
203.084,1916,4,SGP
177.206,1916,5,SGP
175.959,1916,6,SGP
270.281,1916,7,SGP
270.298,1916,8,SGP
120.318,1916,9,SGP
190.416,1916,10,SGP
326.418,1916,11,SGP
183.8,1916,12,SGP
417.654,1917,1,SGP
333.615,1917,2,SGP
240.432,1917,3,SGP
188.742,1917,4,SGP
148.235,1917,5,SGP
93.5423,1917,6,SGP
97.1627,1917,7,SGP
352.11,1917,8,SGP
214.181,1917,9,SGP
181.579,1917,10,SGP
162.555,1917,11,SGP
234.691,1917,12,SGP
706.286,1918,1,SGP
27.1661,1918,2,SGP
84.2033,1918,3,SGP
172.047,1918,4,SGP
176.303,1918,5,SGP
276.991,1918,6,SGP
97.6084,1918,7,SGP
111.967,1918,8,SGP
237.844,1918,9,SGP
145.557,1918,10,SGP
188.157,1918,11,SGP
195.03,1918,12,SGP
348.481,1919,1,SGP
134.764,1919,2,SGP
233.011,1919,3,SGP
212.001,1919,4,SGP
179.827,1919,5,SGP
88.2644,1919,6,SGP
234.627,1919,7,SGP
157.152,1919,8,SGP
136.25,1919,9,SGP
238.379,1919,10,SGP
244.972,1919,11,SGP
234.937,1919,12,SGP
365.628,1920,1,SGP
145.505,1920,2,SGP
174.871,1920,3,SGP
209.655,1920,4,SGP
130.228,1920,5,SGP
108.594,1920,6,SGP
142.179,1920,7,SGP
231.049,1920,8,SGP
189.906,1920,9,SGP
189.389,1920,10,SGP
297.83,1920,11,SGP
88.1677,1920,12,SGP
551.498,1921,1,SGP
320.023,1921,2,SGP
238.938,1921,3,SGP
186.577,1921,4,SGP
222.618,1921,5,SGP
131.716,1921,6,SGP
112.686,1921,7,SGP
140.333,1921,8,SGP
173.611,1921,9,SGP
296.023,1921,10,SGP
252.672,1921,11,SGP
136.659,1921,12,SGP
164.22,1922,1,SGP
116.176,1922,2,SGP
186.657,1922,3,SGP
200.801,1922,4,SGP
178.43,1922,5,SGP
183.296,1922,6,SGP
104.293,1922,7,SGP
250.223,1922,8,SGP
140.508,1922,9,SGP
264.83,1922,10,SGP
354.947,1922,11,SGP
214.259,1922,12,SGP
422.53,1923,1,SGP
48.6033,1923,2,SGP
202.438,1923,3,SGP
140.861,1923,4,SGP
154.618,1923,5,SGP
126.725,1923,6,SGP
168.42,1923,7,SGP
147.074,1923,8,SGP
126.837,1923,9,SGP
185.759,1923,10,SGP
273.171,1923,11,SGP
280.059,1923,12,SGP
343.542,1924,1,SGP
403.188,1924,2,SGP
353.384,1924,3,SGP
138.496,1924,4,SGP
259.032,1924,5,SGP
130.869,1924,6,SGP
138.608,1924,7,SGP
151.247,1924,8,SGP
303.633,1924,9,SGP
238.684,1924,10,SGP
178.077,1924,11,SGP
183.389,1924,12,SGP
462.857,1925,1,SGP
311.049,1925,2,SGP
161.728,1925,3,SGP
169.628,1925,4,SGP
220.955,1925,5,SGP
125.983,1925,6,SGP
97.1949,1925,7,SGP
136.947,1925,8,SGP
203.791,1925,9,SGP
313.093,1925,10,SGP
344.333,1925,11,SGP
351.196,1925,12,SGP
277.633,1926,1,SGP
176.43,1926,2,SGP
95.0677,1926,3,SGP
184.538,1926,4,SGP
127.388,1926,5,SGP
122.045,1926,6,SGP
171.349,1926,7,SGP
223.816,1926,8,SGP
238.693,1926,9,SGP
221.149,1926,10,SGP
272.608,1926,11,SGP
253.744,1926,12,SGP
354.349,1927,1,SGP
167.537,1927,2,SGP
259.659,1927,3,SGP
218.883,1927,4,SGP
173.201,1927,5,SGP
146.511,1927,6,SGP
82.9355,1927,7,SGP
174.174,1927,8,SGP
258.72,1927,9,SGP
219.645,1927,10,SGP
307.654,1927,11,SGP
269.525,1927,12,SGP
244.783,1928,1,SGP
298.367,1928,2,SGP
267.286,1928,3,SGP
