pr,"	Year", Month, Country
33.2111,1901,1,HUN
23.1772,1901,2,HUN
56.7961,1901,3,HUN
44.8803,1901,4,HUN
38.4405,1901,5,HUN
68.753,1901,6,HUN
73.1111,1901,7,HUN
75.1076,1901,8,HUN
47.8058,1901,9,HUN
47.3056,1901,10,HUN
40.6209,1901,11,HUN
49.5198,1901,12,HUN
29.2439,1902,1,HUN
66.6163,1902,2,HUN
44.5015,1902,3,HUN
44.3738,1902,4,HUN
95.386,1902,5,HUN
94.4761,1902,6,HUN
73.7949,1902,7,HUN
45.6988,1902,8,HUN
30.0697,1902,9,HUN
99.43,1902,10,HUN
9.36238,1902,11,HUN
42.5839,1902,12,HUN
24.3109,1903,1,HUN
14.3466,1903,2,HUN
21.2428,1903,3,HUN
85.5989,1903,4,HUN
47.7399,1903,5,HUN
91.057,1903,6,HUN
101.181,1903,7,HUN
41.9579,1903,8,HUN
41.8359,1903,9,HUN
47.0183,1903,10,HUN
71.532,1903,11,HUN
54.7357,1903,12,HUN
24.3822,1904,1,HUN
63.8854,1904,2,HUN
37.7207,1904,3,HUN
29.3523,1904,4,HUN
51.2959,1904,5,HUN
54.6648,1904,6,HUN
14.1225,1904,7,HUN
49.4633,1904,8,HUN
65.501,1904,9,HUN
79.7562,1904,10,HUN
44.5749,1904,11,HUN
30.1089,1904,12,HUN
19.8461,1905,1,HUN
17.5197,1905,2,HUN
30.7318,1905,3,HUN
61.3512,1905,4,HUN
82.6631,1905,5,HUN
73.0093,1905,6,HUN
33.4657,1905,7,HUN
48.1682,1905,8,HUN
63.4022,1905,9,HUN
114.847,1905,10,HUN
87.745,1905,11,HUN
16.2456,1905,12,HUN
36.4792,1906,1,HUN
27.9052,1906,2,HUN
61.4666,1906,3,HUN
40.0357,1906,4,HUN
61.0333,1906,5,HUN
109.867,1906,6,HUN
92.6843,1906,7,HUN
65.5492,1906,8,HUN
98.5054,1906,9,HUN
12.1578,1906,10,HUN
48.0669,1906,11,HUN
92.1538,1906,12,HUN
49.1573,1907,1,HUN
17.0972,1907,2,HUN
21.4848,1907,3,HUN
87.2426,1907,4,HUN
45.673,1907,5,HUN
68.9575,1907,6,HUN
69.2405,1907,7,HUN
31.2559,1907,8,HUN
29.5701,1907,9,HUN
18.0831,1907,10,HUN
29.6273,1907,11,HUN
60.2129,1907,12,HUN
24.4151,1908,1,HUN
57.9173,1908,2,HUN
44.463,1908,3,HUN
69.5886,1908,4,HUN
47.4047,1908,5,HUN
38.6259,1908,6,HUN
56.447,1908,7,HUN
82.1066,1908,8,HUN
26.5393,1908,9,HUN
8.6686,1908,10,HUN
48.6075,1908,11,HUN
39.078,1908,12,HUN
27.2463,1909,1,HUN
32.9057,1909,2,HUN
44.9284,1909,3,HUN
31.6559,1909,4,HUN
81.5458,1909,5,HUN
88.0548,1909,6,HUN
72.7529,1909,7,HUN
63.2999,1909,8,HUN
58.721,1909,9,HUN
34.6043,1909,10,HUN
31.7671,1909,11,HUN
82.0208,1909,12,HUN
53.4992,1910,1,HUN
41.4478,1910,2,HUN
7.36301,1910,3,HUN
71.4764,1910,4,HUN
87.5649,1910,5,HUN
84.277,1910,6,HUN
56.2655,1910,7,HUN
67.8212,1910,8,HUN
84.0129,1910,9,HUN
