pr,"	Year", Month, Country, ISO3, ISO2
0,1915,9,QAT,,
0.13226,1915,10,QAT,,
1.56574,1915,11,QAT,,
5.53863,1915,12,QAT,,
16.0274,1916,1,QAT,,
13.3048,1916,2,QAT,,
14.8578,1916,3,QAT,,
10.5189,1916,4,QAT,,
1.21847,1916,5,QAT,,
0.17117,1916,6,QAT,,
0.23527,1916,7,QAT,,
0.2036,1916,8,QAT,,
0,1916,9,QAT,,
0.13226,1916,10,QAT,,
1.56574,1916,11,QAT,,
7.76377,1916,12,QAT,,
17.3961,1917,1,QAT,,
15.0674,1917,2,QAT,,
9.02643,1917,3,QAT,,
6.35138,1917,4,QAT,,
1.21847,1917,5,QAT,,
0.17117,1917,6,QAT,,
0.23527,1917,7,QAT,,
0.2036,1917,8,QAT,,
0,1917,9,QAT,,
0.13226,1917,10,QAT,,
1.56574,1917,11,QAT,,
9.09072,1917,12,QAT,,
10.5637,1918,1,QAT,,
13.6716,1918,2,QAT,,
20.6765,1918,3,QAT,,
11.2612,1918,4,QAT,,
1.9515,1918,5,QAT,,
0.17117,1918,6,QAT,,
0.23527,1918,7,QAT,,
0.2036,1918,8,QAT,,
0,1918,9,QAT,,
0.13226,1918,10,QAT,,
1.9752,1918,11,QAT,,
9.63337,1918,12,QAT,,
13.072,1919,1,QAT,,
16.8232,1919,2,QAT,,
8.74728,1919,3,QAT,,
19.147,1919,4,QAT,,
3.36782,1919,5,QAT,,
0.17117,1919,6,QAT,,
0.23527,1919,7,QAT,,
0.2036,1919,8,QAT,,
0,1919,9,QAT,,
0.13226,1919,10,QAT,,
1.56574,1919,11,QAT,,
7.8269,1919,12,QAT,,
17.7386,1920,1,QAT,,
29.141,1920,2,QAT,,
8.74728,1920,3,QAT,,
6.35138,1920,4,QAT,,
1.21847,1920,5,QAT,,
0.17117,1920,6,QAT,,
0.23527,1920,7,QAT,,
0.2036,1920,8,QAT,,
0,1920,9,QAT,,
0.13226,1920,10,QAT,,
1.88053,1920,11,QAT,,
12.4178,1920,12,QAT,,
11.6,1921,1,QAT,,
11.3641,1921,2,QAT,,
8.74728,1921,3,QAT,,
7.79868,1921,4,QAT,,
1.97118,1921,5,QAT,,
0.17117,1921,6,QAT,,
0.23527,1921,7,QAT,,
0.2036,1921,8,QAT,,
0,1921,9,QAT,,
0.13226,1921,10,QAT,,
2.91104,1921,11,QAT,,
10.0134,1921,12,QAT,,
7.89048,1922,1,QAT,,
12.0859,1922,2,QAT,,
8.74728,1922,3,QAT,,
6.35138,1922,4,QAT,,
1.21847,1922,5,QAT,,
0.17117,1922,6,QAT,,
0.23527,1922,7,QAT,,
0.2036,1922,8,QAT,,
0,1922,9,QAT,,
0.13226,1922,10,QAT,,
1.56574,1922,11,QAT,,
6.46803,1922,12,QAT,,
19.6641,1923,1,QAT,,
10.3255,1923,2,QAT,,
19.2163,1923,3,QAT,,
15.6901,1923,4,QAT,,
1.21847,1923,5,QAT,,
0.17117,1923,6,QAT,,
0.23527,1923,7,QAT,,
0.2036,1923,8,QAT,,
0,1923,9,QAT,,
0.25191,1923,10,QAT,,
5.36475,1923,11,QAT,,
10.4957,1923,12,QAT,,
25.1225,1924,1,QAT,,
15.2465,1924,2,QAT,,
9.02643,1924,3,QAT,,
6.35138,1924,4,QAT,,
1.21847,1924,5,QAT,,
0.17117,1924,6,QAT,,
0.23527,1924,7,QAT,,
0.2036,1924,8,QAT,,
0,1924,9,QAT,,
0.51096,1924,10,QAT,,
1.56574,1924,11,QAT,,
9.29025,1924,12,QAT,,
12.2174,1925,1,QAT,,
12.0859,1925,2,QAT,,
8.74728,1925,3,QAT,,
6.35138,1925,4,QAT,,
4.08307,1925,5,QAT,,
0.17117,1925,6,QAT,,
0.23527,1925,7,QAT,,
0.2036,1925,8,QAT,,
0,1925,9,QAT,,
0.24564,1925,10,QAT,,
4.95672,1925,11,QAT,,
5.2303,1925,12,QAT,,
13.6834,1926,1,QAT,,
16.6405,1926,2,QAT,,
18.3596,1926,3,QAT,,
6.35138,1926,4,QAT,,
1.21847,1926,5,QAT,,
0.17117,1926,6,QAT,,
0.23527,1926,7,QAT,,
0.2036,1926,8,QAT,,
0,1926,9,QAT,,
0.13226,1926,10,QAT,,
2.8933,1926,11,QAT,,
8.63729,1926,12,QAT,,
7.78299,1927,1,QAT,,
14.194,1927,2,QAT,,
9.02643,1927,3,QAT,,
6.35138,1927,4,QAT,,
1.21847,1927,5,QAT,,
0.17117,1927,6,QAT,,
0.23527,1927,7,QAT,,
0.2036,1927,8,QAT,,
0,1927,9,QAT,,
0.13226,1927,10,QAT,,
2.22188,1927,11,QAT,,
12.9201,1927,12,QAT,,
5.72876,1928,1,QAT,,
3.19547,1928,2,QAT,,
5.60893,1928,3,QAT,,
1.72288,1928,4,QAT,,
0.4098,1928,5,QAT,,
0.17117,1928,6,QAT,,
0.06401,1928,7,QAT,,
0.2036,1928,8,QAT,,
0,1928,9,QAT,,
0.04065,1928,10,QAT,,
4.36769,1928,11,QAT,,
21.0316,1928,12,QAT,,
1.9064,1929,1,QAT,,
13.2297,1929,2,QAT,,
6.45746,1929,3,QAT,,
1.72288,1929,4,QAT,,
0.4098,1929,5,QAT,,
0.17117,1929,6,QAT,,
0.06401,1929,7,QAT,,
0.2036,1929,8,QAT,,
0,1929,9,QAT,,
0.04065,1929,10,QAT,,
1.25209,1929,11,QAT,,
33.8318,1929,12,QAT,,
15.4515,1930,1,QAT,,
3.71538,1930,2,QAT,,
5.21935,1930,3,QAT,,
7.58539,1930,4,QAT,,
0.4098,1930,5,QAT,,
0.17117,1930,6,QAT,,
0.06401,1930,7,QAT,,
0.2036,1930,8,QAT,,
0,1930,9,QAT,,
0.04065,1930,10,QAT,,
0.37626,1930,11,QAT,,
21.7256,1930,12,QAT,,
26.2398,1931,1,QAT,,
52.8475,1931,2,QAT,,
2.8483,1931,3,QAT,,
