pr,"	Year", Month, Country
122.523,1901,1,ALB
151.03,1901,2,ALB
100.631,1901,3,ALB
35.5705,1901,4,ALB
118.236,1901,5,ALB
179.88,1901,6,ALB
27.7429,1901,7,ALB
46.2064,1901,8,ALB
39.6781,1901,9,ALB
166.815,1901,10,ALB
162.718,1901,11,ALB
163.358,1901,12,ALB
91.57,1902,1,ALB
215.727,1902,2,ALB
113.375,1902,3,ALB
61.17,1902,4,ALB
115.183,1902,5,ALB
25.1786,1902,6,ALB
10.8692,1902,7,ALB
24.513,1902,8,ALB
108.12,1902,9,ALB
116.997,1902,10,ALB
92.8508,1902,11,ALB
122.158,1902,12,ALB
48.7984,1903,1,ALB
34.5947,1903,2,ALB
86.6686,1903,3,ALB
180.535,1903,4,ALB
81.8608,1903,5,ALB
82.4151,1903,6,ALB
19.6117,1903,7,ALB
18.634,1903,8,ALB
22.8745,1903,9,ALB
86.5385,1903,10,ALB
90.724,1903,11,ALB
177.487,1903,12,ALB
95.0321,1904,1,ALB
116.269,1904,2,ALB
57.4357,1904,3,ALB
73.6953,1904,4,ALB
80.948,1904,5,ALB
123.096,1904,6,ALB
13.7906,1904,7,ALB
14.0155,1904,8,ALB
74.9728,1904,9,ALB
203.815,1904,10,ALB
53.3623,1904,11,ALB
89.5827,1904,12,ALB
95.2151,1905,1,ALB
54.0673,1905,2,ALB
75.7787,1905,3,ALB
47.0171,1905,4,ALB
62.3712,1905,5,ALB
54.0554,1905,6,ALB
24.7222,1905,7,ALB
102.121,1905,8,ALB
58.4271,1905,9,ALB
230.629,1905,10,ALB
83.8251,1905,11,ALB
39.3204,1905,12,ALB
124.165,1906,1,ALB
122.9,1906,2,ALB
67.9967,1906,3,ALB
21.7056,1906,4,ALB
113.852,1906,5,ALB
222.493,1906,6,ALB
8.84733,1906,7,ALB
20.645,1906,8,ALB
56.7232,1906,9,ALB
123.923,1906,10,ALB
66.5169,1906,11,ALB
214.266,1906,12,ALB
171.133,1907,1,ALB
138.304,1907,2,ALB
54.6985,1907,3,ALB
150.919,1907,4,ALB
45.3509,1907,5,ALB
71.249,1907,6,ALB
8.24246,1907,7,ALB
15.6684,1907,8,ALB
10.9012,1907,9,ALB
119.849,1907,10,ALB
84.4896,1907,11,ALB
105.561,1907,12,ALB
74.1103,1908,1,ALB
108.396,1908,2,ALB
48.4851,1908,3,ALB
105.964,1908,4,ALB
25.1892,1908,5,ALB
11.8077,1908,6,ALB
19.8214,1908,7,ALB
19.1199,1908,8,ALB
14.9508,1908,9,ALB
63.338,1908,10,ALB
96.5976,1908,11,ALB
144.861,1908,12,ALB
129.799,1909,1,ALB
105.187,1909,2,ALB
96.2119,1909,3,ALB
18.3351,1909,4,ALB
175.796,1909,5,ALB
14.0615,1909,6,ALB
104.779,1909,7,ALB
54.1537,1909,8,ALB
89.1908,1909,9,ALB
60.3875,1909,10,ALB
230.378,1909,11,ALB
154.748,1909,12,ALB
81.7381,1910,1,ALB
79.0534,1910,2,ALB
63.0282,1910,3,ALB
128.556,1910,4,ALB
64.7315,1910,5,ALB
24.4054,1910,6,ALB
28.1794,1910,7,ALB
18.27,1910,8,ALB
100.612,1910,9,ALB
52.1283,1910,10,ALB
143.935,1910,11,ALB
138.855,1910,12,ALB
63.4995,1911,1,ALB
57.7914,1911,2,ALB
68.4482,1911,3,ALB
110.024,1911,4,ALB
105.28,1911,5,ALB
39.0712,1911,6,ALB
42.7522,1911,7,ALB
61.5514,1911,8,ALB
81.6089,1911,9,ALB
82.5506,1911,10,ALB
36.5321,1911,11,ALB
98.4849,1911,12,ALB
93.8839,1912,1,ALB
32.5417,1912,2,ALB
64.1176,1912,3,ALB
106.868,1912,4,ALB
75.7592,1912,5,ALB
45.8454,1912,6,ALB
41.6361,1912,7,ALB
17.6391,1912,8,ALB
143.722,1912,9,ALB
82.3463,1912,10,ALB
180.657,1912,11,ALB
80.2886,1912,12,ALB
160.801,1913,1,ALB
38.8303,1913,2,ALB
31.7734,1913,3,ALB
72.4118,1913,4,ALB
122.942,1913,5,ALB
103.071,1913,6,ALB
96.1619,1913,7,ALB
103.808,1913,8,ALB
48.8834,1913,9,ALB
21.1928,1913,10,ALB
70.4516,1913,11,ALB
114.604,1913,12,ALB
136.973,1914,1,ALB
46.7263,1914,2,ALB
108.892,1914,3,ALB
25.6675,1914,4,ALB
89.6496,1914,5,ALB
114.826,1914,6,ALB
52.8624,1914,7,ALB
83.5555,1914,8,ALB
49.9362,1914,9,ALB
88.089,1914,10,ALB
151.993,1914,11,ALB
172.738,1914,12,ALB
231.499,1915,1,ALB
109.198,1915,2,ALB
93.3917,1915,3,ALB
44.9248,1915,4,ALB
108.903,1915,5,ALB
222.041,1915,6,ALB
118.161,1915,7,ALB
56.3484,1915,8,ALB
91.4027,1915,9,ALB
238.193,1915,10,ALB
114.149,1915,11,ALB
98.456,1915,12,ALB
26.6332,1916,1,ALB
91.5613,1916,2,ALB
109.168,1916,3,ALB
71.0212,1916,4,ALB
70.9827,1916,5,ALB
17.3266,1916,6,ALB
38.4695,1916,7,ALB
66.8223,1916,8,ALB
103.171,1916,9,ALB
125.725,1916,10,ALB
130.522,1916,11,ALB
164.078,1916,12,ALB
180.214,1917,1,ALB
36.4968,1917,2,ALB
79.758,1917,3,ALB
44.4025,1917,4,ALB
62.7873,1917,5,ALB
10.479,1917,6,ALB
12.4996,1917,7,ALB
8.4214,1917,8,ALB
19.1162,1917,9,ALB
90.8582,1917,10,ALB
144.279,1917,11,ALB
145.462,1917,12,ALB
70.692,1918,1,ALB
45.4057,1918,2,ALB
48.0749,1918,3,ALB
86.3604,1918,4,ALB
58.8971,1918,5,ALB
52.512,1918,6,ALB
81.4674,1918,7,ALB
31.2641,1918,8,ALB
23.2983,1918,9,ALB
200.122,1918,10,ALB
157.896,1918,11,ALB
86.0065,1918,12,ALB
119.247,1919,1,ALB
104.49,1919,2,ALB
98.8609,1919,3,ALB
173.418,1919,4,ALB
167.563,1919,5,ALB
27.8403,1919,6,ALB
51.6177,1919,7,ALB
