pr,"	Year", Month, Country
71.0606,1991,1,AFG
56.5235,1991,2,AFG
128.244,1991,3,AFG
42.5555,1991,4,AFG
62.5858,1991,5,AFG
5.95879,1991,6,AFG
3.55534,1991,7,AFG
2.75255,1991,8,AFG
16.3668,1991,9,AFG
3.00116,1991,10,AFG
13.5085,1991,11,AFG
37.0649,1991,12,AFG
63.3811,1992,1,AFG
48.9674,1992,2,AFG
60.1577,1992,3,AFG
109.621,1992,4,AFG
26.2053,1992,5,AFG
10.6198,1992,6,AFG
11.6994,1992,7,AFG
13.7373,1992,8,AFG
3.98976,1992,9,AFG
24.4231,1992,10,AFG
8.53067,1992,11,AFG
50.1585,1992,12,AFG
55.7993,1993,1,AFG
43.894,1993,2,AFG
64.9453,1993,3,AFG
40.8351,1993,4,AFG
38.8807,1993,5,AFG
10.499,1993,6,AFG
4.67772,1993,7,AFG
7.09932,1993,8,AFG
2.06406,1993,9,AFG
7.96216,1993,10,AFG
20.6453,1993,11,AFG
30.5132,1993,12,AFG
53.2691,1994,1,AFG
35.7401,1994,2,AFG
73.6703,1994,3,AFG
25.7275,1994,4,AFG
36.7498,1994,5,AFG
4.4355,1994,6,AFG
17.3098,1994,7,AFG
9.08417,1994,8,AFG
7.83147,1994,9,AFG
23.8671,1994,10,AFG
9.48277,1994,11,AFG
35.1365,1994,12,AFG
14.5861,1995,1,AFG
67.3363,1995,2,AFG
52.8298,1995,3,AFG
61.0354,1995,4,AFG
9.03721,1995,5,AFG
8.94817,1995,6,AFG
10.5315,1995,7,AFG
5.38586,1995,8,AFG
2.36155,1995,9,AFG
17.3838,1995,10,AFG
5.79717,1995,11,AFG
40.4087,1995,12,AFG
41.1956,1996,1,AFG
47.2199,1996,2,AFG
97.0343,1996,3,AFG
39.5051,1996,4,AFG
26.6464,1996,5,AFG
11.5947,1996,6,AFG
3.99599,1996,7,AFG
7.43116,1996,8,AFG
1.63855,1996,9,AFG
16.41,1996,10,AFG
9.24639,1996,11,AFG
5.47807,1996,12,AFG
24.9431,1997,1,AFG
12.3245,1997,2,AFG
83.3102,1997,3,AFG
65.1576,1997,4,AFG
31.1682,1997,5,AFG
9.74753,1997,6,AFG
9.38558,1997,7,AFG
6.65654,1997,8,AFG
2.32419,1997,9,AFG
44.4649,1997,10,AFG
14.9488,1997,11,AFG
35.4427,1997,12,AFG
63.9365,1998,1,AFG
68.6585,1998,2,AFG
57.3324,1998,3,AFG
61.8901,1998,4,AFG
51.0695,1998,5,AFG
13.0548,1998,6,AFG
6.56767,1998,7,AFG
4.42611,1998,8,AFG
3.90184,1998,9,AFG
4.82908,1998,10,AFG
2.48805,1998,11,AFG
3.93896,1998,12,AFG
38.1692,1999,1,AFG
63.6541,1999,2,AFG
75.4211,1999,3,AFG
26.0251,1999,4,AFG
9.7844,1999,5,AFG
3.7432,1999,6,AFG
18.1726,1999,7,AFG
7.79851,1999,8,AFG
7.21179,1999,9,AFG
4.43604,1999,10,AFG
41.0266,1999,11,AFG
5.30695,1999,12,AFG
35.7854,2000,1,AFG
40.8795,2000,2,AFG
33.9129,2000,3,AFG
