,year,country_code,reported_cases,region_x,reported_deaths,region_y,population,tx_resistance,tx_resistance_int,number_nets,point_prevalence
84,2002,IRN,9122.0,EMR,2.0,EMR,67983330.0,No,0.0,0.0,0.00013417995264427323
85,2003,TUR,9222.0,EUR,0.0,EUR,66085803.0,Not tested/reported,0.0,0.0,0.00013954585677047762
86,2009,CHN,9287.0,WPR,10.0,WPR,1331260000.0,Yes,1.0,0.0,6.9760978321289605e-06
87,2009,CHN,9287.0,WPR,10.0,WPR,1331260000.0,Not tested/reported,0.0,0.0,6.9760978321289605e-06
88,2012,BGD,9901.0,SEAR,11.0,SEAR,155727053.0,Yes,1.0,0.0,6.357919070105308e-05
89,2012,BGD,9901.0,SEAR,11.0,SEAR,155727053.0,Not tested/reported,0.0,0.0,6.357919070105308e-05
90,2002,TUR,10224.0,EUR,0.0,EUR,65143054.0,Not tested/reported,0.0,0.0,0.00015694689413855235
91,2000,SUR,11361.0,AMR,24.0,AMR,472390.0,Not tested/reported,0.0,0.0,0.02405004339634624
92,2000,TUR,11432.0,EUR,0.0,EUR,63240121.0,Not tested/reported,0.0,0.0,0.0001807713176260368
93,2000,MYS,12705.0,WPR,35.0,WPR,23185608.0,Not tested/reported,0.0,0.0,0.0005479692402286798
94,2001,MYS,12780.0,WPR,46.0,WPR,23698907.0,Not tested/reported,0.0,0.0,0.0005392653762470986
95,2003,HND,14063.0,AMR,0.0,AMR,7033821.0,Not tested/reported,0.0,0.0,0.0019993400457589123
96,2002,BOL,14276.0,AMR,4.0,AMR,8653345.0,Not tested/reported,0.0,0.0,0.0016497666509309407
97,2000,TLS,15212.0,SEAR,,,871607.0,Not tested/reported,0.0,0.0,0.0174528199062192
98,2007,GTM,15382.0,AMR,,,13700286.0,Not tested/reported,0.0,0.0,0.0011227502841911474
99,2007,VNM,16389.0,WPR,20.0,WPR,84218500.0,Yes,1.0,0.0,0.00019460094872266782
100,2007,VNM,16389.0,WPR,20.0,WPR,84218500.0,No,0.0,0.0,0.00019460094872266782
101,2007,VNM,16389.0,WPR,20.0,WPR,84218500.0,Not tested/reported,0.0,0.0,0.00019460094872266782
102,2003,PRK,16538.0,SEAR,,,23538540.0,Not tested/reported,0.0,0.0,0.0007025924292670658
103,2007,LAO,17458.0,WPR,14.0,WPR,5949787.0,Not tested/reported,0.0,0.0,0.002934222687299562
104,2014,HTI,17662.0,AMR,9.0,AMR,10572466.0, Not tested/reported,0.0,0.0,0.0016705657885303202
