tas,"	Year", Month, Country, ISO3, ISO2
-6.0482,1991,1,USA,,
-1.5655,1991,2,USA,,
0.93979,1991,3,USA,,
7.20034,1991,4,USA,,
13.4703,1991,5,USA,,
17.9005,1991,6,USA,,
20.0899,1991,7,USA,,
19.2929,1991,8,USA,,
15.0592,1991,9,USA,,
8.28441,1991,10,USA,,
-0.8618,1991,11,USA,,
-3.105,1991,12,USA,,
-3.9885,1992,1,USA,,
-2.1265,1992,2,USA,,
1.67409,1992,3,USA,,
6.50207,1992,4,USA,,
12.1373,1992,5,USA,,
16.9904,1992,6,USA,,
19.2294,1992,7,USA,,
18.0289,1992,8,USA,,
13.768,1992,9,USA,,
7.40718,1992,10,USA,,
0.06429,1992,11,USA,,
-5.1176,1992,12,USA,,
-5.8157,1993,1,USA,,
-4.5406,1993,2,USA,,
0.7792,1993,3,USA,,
6.60455,1993,4,USA,,
13.1405,1993,5,USA,,
17.0097,1993,6,USA,,
19.9716,1993,7,USA,,
18.9324,1993,8,USA,,
13.8122,1993,9,USA,,
8.0887,1993,10,USA,,
-0.187,1993,11,USA,,
-2.8065,1993,12,USA,,
-5.6681,1994,1,USA,,
-5.0267,1994,2,USA,,
1.04255,1994,3,USA,,
7.20645,1994,4,USA,,
12.9606,1994,5,USA,,
18.3181,1994,6,USA,,
20.353,1994,7,USA,,
19.4339,1994,8,USA,,
14.9931,1994,9,USA,,
7.79232,1994,10,USA,,
0.13588,1994,11,USA,,
-3.2141,1994,12,USA,,
-4.3758,1995,1,USA,,
-2.1929,1995,2,USA,,
0.2196,1995,3,USA,,
6.47977,1995,4,USA,,
12.4276,1995,5,USA,,
17.1826,1995,6,USA,,
20.2503,1995,7,USA,,
20.0201,1995,8,USA,,
15.3624,1995,9,USA,,
8.33333,1995,10,USA,,
0.01295,1995,11,USA,,
-4.1472,1995,12,USA,,
-6.8235,1996,1,USA,,
-3.5703,1996,2,USA,,
-0.2155,1996,3,USA,,
5.99605,1996,4,USA,,
12.8013,1996,5,USA,,
17.9778,1996,6,USA,,
20.1886,1996,7,USA,,
18.9605,1996,8,USA,,
13.828,1996,9,USA,,
6.7691,1996,10,USA,,
-0.6427,1996,11,USA,,
-4.5711,1996,12,USA,,
-6.5211,1997,1,USA,,
-2.0453,1997,2,USA,,
0.55369,1997,3,USA,,
4.81853,1997,4,USA,,
12.0507,1997,5,USA,,
17.4066,1997,6,USA,,
19.9506,1997,7,USA,,
19.0516,1997,8,USA,,
15.7442,1997,9,USA,,
7.16101,1997,10,USA,,
0.78698,1997,11,USA,,
-4.0951,1997,12,USA,,
-3.9887,1998,1,USA,,
-1.3943,1998,2,USA,,
1.05101,1998,3,USA,,
7.13169,1998,4,USA,,
13.4804,1998,5,USA,,
17.0844,1998,6,USA,,
20.847,1998,7,USA,,
19.5461,1998,8,USA,,
16.5227,1998,9,USA,,
8.50621,1998,10,USA,,
2.12893,1998,11,USA,,
-3.5139,1998,12,USA,,
-5.3647,1999,1,USA,,
-2.8118,1999,2,USA,,
0.09581,1999,3,USA,,
6.05264,1999,4,USA,,
12.0167,1999,5,USA,,
17.2406,1999,6,USA,,
20.224,1999,7,USA,,
19.4469,1999,8,USA,,
14.3906,1999,9,USA,,
7.67338,1999,10,USA,,
2.31753,1999,11,USA,,
-3.9927,1999,12,USA,,
-4.8978,2000,1,USA,,
-0.2944,2000,2,USA,,
2.38508,2000,3,USA,,
6.61306,2000,4,USA,,
12.8513,2000,5,USA,,
17.4026,2000,6,USA,,
19.8594,2000,7,USA,,
19.3451,2000,8,USA,,
14.5289,2000,9,USA,,
8.1762,2000,10,USA,,
-0.6575,2000,11,USA,,
-5.4792,2000,12,USA,,
-3.8619,2001,1,USA,,
-3.0089,2001,2,USA,,
-0.0083,2001,3,USA,,
7.12103,2001,4,USA,,
12.5613,2001,5,USA,,
17.6893,2001,6,USA,,
20.2631,2001,7,USA,,
19.8456,2001,8,USA,,
15.2009,2001,9,USA,,
7.39831,2001,10,USA,,
2.32349,2001,11,USA,,
-3.7176,2001,12,USA,,
-3.1715,2002,1,USA,,
-2.7628,2002,2,USA,,
-0.5114,2002,3,USA,,
6.52768,2002,4,USA,,
12.1286,2002,5,USA,,
18.1821,2002,6,USA,,
20.9967,2002,7,USA,,
19.0695,2002,8,USA,,
15.7628,2002,9,USA,,
7.48287,2002,10,USA,,
1.93888,2002,11,USA,,
-2.1399,2002,12,USA,,
-4.2048,2003,1,USA,,
-3.3063,2003,2,USA,,
0.65983,2003,3,USA,,
6.97499,2003,4,USA,,
12.5047,2003,5,USA,,
17.264,2003,6,USA,,
20.886,2003,7,USA,,
20.0908,2003,8,USA,,
14.4822,2003,9,USA,,
9.69952,2003,10,USA,,
1.07,2003,11,USA,,
-3.3668,2003,12,USA,,
-6.6293,2004,1,USA,,
-3.6808,2004,2,USA,,
2.09822,2004,3,USA,,
7.36164,2004,4,USA,,
13.5854,2004,5,USA,,
17.7194,2004,6,USA,,
20.3215,2004,7,USA,,
18.8864,2004,8,USA,,
14.7916,2004,9,USA,,
9.07185,2004,10,USA,,
1.88028,2004,11,USA,,
-3.0366,2004,12,USA,,
-4.623,2005,1,USA,,
-2.1747,2005,2,USA,,
1.29678,2005,3,USA,,
6.7169,2005,4,USA,,
12.7476,2005,5,USA,,
18.0016,2005,6,USA,,
20.9663,2005,7,USA,,
19.8308,2005,8,USA,,
16.1066,2005,9,USA,,
8.87446,2005,10,USA,,
0.71667,2005,11,USA,,
-3.5471,2005,12,USA,,
-2.9843,2006,1,USA,,
-2.5823,2006,2,USA,,
0.10305,2006,3,USA,,
7.54713,2006,4,USA,,
13.4557,2006,5,USA,,
18.3356,2006,6,USA,,
21.3661,2006,7,USA,,
19.3644,2006,8,USA,,
14.5534,2006,9,USA,,
8.17842,2006,10,USA,,
0.88973,2006,11,USA,,
-2.3496,2006,12,USA,,
-5.4579,2007,1,USA,,
-4.5598,2007,2,USA,,
1.13638,2007,3,USA,,
6.76317,2007,4,USA,,
13.3396,2007,5,USA,,
18.1378,2007,6,USA,,
20.9755,2007,7,USA,,
20.5864,2007,8,USA,,
15.8943,2007,9,USA,,
9.20662,2007,10,USA,,
2.33259,2007,11,USA,,
-3.6448,2007,12,USA,,
-6.0134,2008,1,USA,,
-4.139,2008,2,USA,,
0.2572,2008,3,USA,,
6.03457,2008,4,USA,,
12.2047,2008,5,USA,,
17.7104,2008,6,USA,,
20.2119,2008,7,USA,,
19.0756,2008,8,USA,,
15.0467,2008,9,USA,,
7.33345,2008,10,USA,,
0.99278,2008,11,USA,,
-4.6319,2008,12,USA,,
-6.08,2009,1,USA,,
-2.8759,2009,2,USA,,
0.13005,2009,3,USA,,
6.17062,2009,4,USA,,
13.1734,2009,5,USA,,
17.4177,2009,6,USA,,
20.0908,2009,7,USA,,
18.9133,2009,8,USA,,
15.6144,2009,9,USA,,
7.07,2009,10,USA,,
1.63542,2009,11,USA,,
-5.2797,2009,12,USA,,
-5.9172,2010,1,USA,,
-4.0751,2010,2,USA,,
0.98927,2010,3,USA,,
7.62067,2010,4,USA,,
12.5773,2010,5,USA,,
18.0564,2010,6,USA,,
20.4526,2010,7,USA,,
20.1705,2010,8,USA,,
15.559,2010,9,USA,,
9.1898,2010,10,USA,,
1.38027,2010,11,USA,,
-5.3136,2010,12,USA,,
-5.7548,2011,1,USA,,
-4.1138,2011,2,USA,,
0.75979,2011,3,USA,,
6.49159,2011,4,USA,,
12.2422,2011,5,USA,,
17.8582,2011,6,USA,,
21.0735,2011,7,USA,,
20.1638,2011,8,USA,,
15.4942,2011,9,USA,,
9.02666,2011,10,USA,,
0.40554,2011,11,USA,,
-2.7259,2011,12,USA,,
-5.4046,2012,1,USA,,
-1.4569,2012,2,USA,,
2.74047,2012,3,USA,,
8.05455,2012,4,USA,,
13.509,2012,5,USA,,
18.4199,2012,6,USA,,
21.4416,2012,7,USA,,
19.8489,2012,8,USA,,
15.2615,2012,9,USA,,
7.88116,2012,10,USA,,
1.96075,2012,11,USA,,
-3.6506,2012,12,USA,,
-4.3173,2013,1,USA,,
-3.5062,2013,2,USA,,
-0.1942,2013,3,USA,,
4.60962,2013,4,USA,,
12.2673,2013,5,USA,,
18.6739,2013,6,USA,,
20.7085,2013,7,USA,,
19.7316,2013,8,USA,,
15.6535,2013,9,USA,,
8.82506,2013,10,USA,,
0.53593,2013,11,USA,,
-5.2579,2013,12,USA,,
-3.7368,2014,1,USA,,
-4.7058,2014,2,USA,,
0.06626,2014,3,USA,,
6.86896,2014,4,USA,,
13.3304,2014,5,USA,,
17.5542,2014,6,USA,,
19.9613,2014,7,USA,,
19.5003,2014,8,USA,,
15.5667,2014,9,USA,,
9.13255,2014,10,USA,,
0.42014,2014,11,USA,,
-1.2558,2014,12,USA,,
-4.2714,2015,1,USA,,
-3.6229,2015,2,USA,,
2.27675,2015,3,USA,,
7.57875,2015,4,USA,,
13.533,2015,5,USA,,
18.9059,2015,6,USA,,
20.4831,2015,7,USA,,
19.3786,2015,8,USA,,
16.0969,2015,9,USA,,
10.121,2015,10,USA,,
2.45177,2015,11,USA,,
-1.4249,2015,12,USA,,
