tas,"	Year", Month, Country
-4.9515,1901,1,LVA
-7.392,1901,2,LVA
-2.6962,1901,3,LVA
4.77192,1901,4,LVA
11.3248,1901,5,LVA
16.8345,1901,6,LVA
19.2693,1901,7,LVA
18.0181,1901,8,LVA
12.3894,1901,9,LVA
8.18337,1901,10,LVA
-0.2634,1901,11,LVA
-4.7582,1901,12,LVA
-2.7116,1902,1,LVA
-6.3333,1902,2,LVA
-2.0164,1902,3,LVA
1.17397,1902,4,LVA
8.62819,1902,5,LVA
13.494,1902,6,LVA
14.3574,1902,7,LVA
13.723,1902,8,LVA
10.3892,1902,9,LVA
4.12331,1902,10,LVA
-1.4612,1902,11,LVA
-8.3286,1902,12,LVA
-3.5521,1903,1,LVA
-0.6319,1903,2,LVA
2.69154,1903,3,LVA
6.11759,1903,4,LVA
11.7276,1903,5,LVA
16.3799,1903,6,LVA
16.5493,1903,7,LVA
14.4001,1903,8,LVA
12.7907,1903,9,LVA
3.64038,1903,10,LVA
1.76251,1903,11,LVA
-3.1111,1903,12,LVA
-3.5376,1904,1,LVA
-4.3867,1904,2,LVA
-3.7852,1904,3,LVA
4.61394,1904,4,LVA
8.0532,1904,5,LVA
12.3166,1904,6,LVA
14.2107,1904,7,LVA
14.6168,1904,8,LVA
10.8543,1904,9,LVA
6.41821,1904,10,LVA
-0.2681,1904,11,LVA
-2.9979,1904,12,LVA
-7.6318,1905,1,LVA
-2.9299,1905,2,LVA
-0.39,1905,3,LVA
3.29793,1905,4,LVA
11.5371,1905,5,LVA
17.612,1905,6,LVA
16.6747,1905,7,LVA
15.7692,1905,8,LVA
10.9537,1905,9,LVA
4.22774,1905,10,LVA
1.40604,1905,11,LVA
-2.4381,1905,12,LVA
-3.4283,1906,1,LVA
-3.0843,1906,2,LVA
-1.7609,1906,3,LVA
6.7989,1906,4,LVA
15.4472,1906,5,LVA
15.1151,1906,6,LVA
17.6574,1906,7,LVA
14.8368,1906,8,LVA
10.0204,1906,9,LVA
5.53336,1906,10,LVA
3.22994,1906,11,LVA
-4.7007,1906,12,LVA
-8.0752,1907,1,LVA
-6.0113,1907,2,LVA
-2.391,1907,3,LVA
3.11813,1907,4,LVA
9.71197,1907,5,LVA
14.2922,1907,6,LVA
16.2652,1907,7,LVA
13.567,1907,8,LVA
10.7523,1907,9,LVA
9.76737,1907,10,LVA
-0.8086,1907,11,LVA
-10,1907,12,LVA
-4.2821,1908,1,LVA
-3.1334,1908,2,LVA
-3.1883,1908,3,LVA
4.03975,1908,4,LVA
9.07415,1908,5,LVA
14.0691,1908,6,LVA
17.2082,1908,7,LVA
15.4165,1908,8,LVA
10.6443,1908,9,LVA
5.43073,1908,10,LVA
-2.5364,1908,11,LVA
-4.3449,1908,12,LVA
