tas,"	Year", Month, Country, ISO3, ISO2
23.9313,1991,1,CMR,,
26.5055,1991,2,CMR,,
26.5718,1991,3,CMR,,
26.7186,1991,4,CMR,,
24.6243,1991,5,CMR,,
24.9569,1991,6,CMR,,
23.3964,1991,7,CMR,,
23.3264,1991,8,CMR,,
24.4233,1991,9,CMR,,
24.0329,1991,10,CMR,,
23.9436,1991,11,CMR,,
23.4697,1991,12,CMR,,
23.2791,1992,1,CMR,,
25.1018,1992,2,CMR,,
26.8117,1992,3,CMR,,
26.5656,1992,4,CMR,,
25.4539,1992,5,CMR,,
24.1047,1992,6,CMR,,
22.9322,1992,7,CMR,,
22.6165,1992,8,CMR,,
23.4236,1992,9,CMR,,
23.9813,1992,10,CMR,,
23.6771,1992,11,CMR,,
23.3183,1992,12,CMR,,
23.0518,1993,1,CMR,,
24.9567,1993,2,CMR,,
26.7953,1993,3,CMR,,
26.5453,1993,4,CMR,,
25.8256,1993,5,CMR,,
24.4271,1993,6,CMR,,
23.719,1993,7,CMR,,
23.2316,1993,8,CMR,,
23.5599,1993,9,CMR,,
24.8099,1993,10,CMR,,
24.761,1993,11,CMR,,
23.5465,1993,12,CMR,,
23.8572,1994,1,CMR,,
25.3399,1994,2,CMR,,
26.702,1994,3,CMR,,
26.5557,1994,4,CMR,,
25.8439,1994,5,CMR,,
24.0792,1994,6,CMR,,
23.1979,1994,7,CMR,,
22.8372,1994,8,CMR,,
23.5148,1994,9,CMR,,
24.3155,1994,10,CMR,,
24.9201,1994,11,CMR,,
23.0428,1994,12,CMR,,
23.9053,1995,1,CMR,,
24.6159,1995,2,CMR,,
25.9921,1995,3,CMR,,
26.642,1995,4,CMR,,
25.8406,1995,5,CMR,,
24.5615,1995,6,CMR,,
24.3558,1995,7,CMR,,
23.8043,1995,8,CMR,,
23.901,1995,9,CMR,,
24.6007,1995,10,CMR,,
24.1461,1995,11,CMR,,
24.1918,1995,12,CMR,,
24.8234,1996,1,CMR,,
26.4081,1996,2,CMR,,
27.097,1996,3,CMR,,
26.1945,1996,4,CMR,,
24.7438,1996,5,CMR,,
24.1052,1996,6,CMR,,
24.139,1996,7,CMR,,
23.2964,1996,8,CMR,,
23.6851,1996,9,CMR,,
24.2177,1996,10,CMR,,
23.4006,1996,11,CMR,,
23.7096,1996,12,CMR,,
24.1374,1997,1,CMR,,
24.1776,1997,2,CMR,,
26.0694,1997,3,CMR,,
26.0615,1997,4,CMR,,
25.4068,1997,5,CMR,,
24.0243,1997,6,CMR,,
23.6569,1997,7,CMR,,
23.5752,1997,8,CMR,,
24.3923,1997,9,CMR,,
25.3618,1997,10,CMR,,
25.841,1997,11,CMR,,
23.8371,1997,12,CMR,,
24.4807,1998,1,CMR,,
26.8617,1998,2,CMR,,
27.5462,1998,3,CMR,,
27.8354,1998,4,CMR,,
26.3583,1998,5,CMR,,
25.0152,1998,6,CMR,,
24.5617,1998,7,CMR,,
23.7288,1998,8,CMR,,
24.1582,1998,9,CMR,,
24.7916,1998,10,CMR,,
25.6291,1998,11,CMR,,
24.3836,1998,12,CMR,,
24.4692,1999,1,CMR,,
26.1946,1999,2,CMR,,
27.7291,1999,3,CMR,,
26.7083,1999,4,CMR,,
25.3865,1999,5,CMR,,
24.4072,1999,6,CMR,,
23.3871,1999,7,CMR,,
22.9818,1999,8,CMR,,
23.555,1999,9,CMR,,
23.8082,1999,10,CMR,,
24.7706,1999,11,CMR,,
25.1817,1999,12,CMR,,
24.2041,2000,1,CMR,,
24.2661,2000,2,CMR,,
26.3814,2000,3,CMR,,
26.8223,2000,4,CMR,,
26.246,2000,5,CMR,,
24.5006,2000,6,CMR,,
23.4915,2000,7,CMR,,
23.8981,2000,8,CMR,,
23.67,2000,9,CMR,,
24.3433,2000,10,CMR,,
24.9606,2000,11,CMR,,
23.4534,2000,12,CMR,,
23.8326,2001,1,CMR,,
25.3555,2001,2,CMR,,
26.3083,2001,3,CMR,,
26.9483,2001,4,CMR,,
25.9167,2001,5,CMR,,
24.4419,2001,6,CMR,,
23.8717,2001,7,CMR,,
22.9531,2001,8,CMR,,
23.1964,2001,9,CMR,,
23.8254,2001,10,CMR,,
25.6047,2001,11,CMR,,
24.6778,2001,12,CMR,,
23.0931,2002,1,CMR,,
25.5549,2002,2,CMR,,
26.4534,2002,3,CMR,,
26.81,2002,4,CMR,,
26.8277,2002,5,CMR,,
24.8509,2002,6,CMR,,
24.0627,2002,7,CMR,,
24.0553,2002,8,CMR,,
23.5368,2002,9,CMR,,
24.4464,2002,10,CMR,,
24.5654,2002,11,CMR,,
24.2048,2002,12,CMR,,
24.4855,2003,1,CMR,,
26.9683,2003,2,CMR,,
26.5047,2003,3,CMR,,
27.1914,2003,4,CMR,,
25.9363,2003,5,CMR,,
23.8024,2003,6,CMR,,
23.9213,2003,7,CMR,,
23.4311,2003,8,CMR,,
24.0834,2003,9,CMR,,
25.1611,2003,10,CMR,,
24.866,2003,11,CMR,,
24.0242,2003,12,CMR,,
24.3577,2004,1,CMR,,
25.6185,2004,2,CMR,,
27.3653,2004,3,CMR,,
26.9379,2004,4,CMR,,
25.6549,2004,5,CMR,,
24.6394,2004,6,CMR,,
23.8264,2004,7,CMR,,
24.3079,2004,8,CMR,,
23.9699,2004,9,CMR,,
25.4294,2004,10,CMR,,
25.2747,2004,11,CMR,,
24.9381,2004,12,CMR,,
23.9935,2005,1,CMR,,
27.844,2005,2,CMR,,
27.5848,2005,3,CMR,,
27.2831,2005,4,CMR,,
25.866,2005,5,CMR,,
24.3087,2005,6,CMR,,
23.648,2005,7,CMR,,
23.6684,2005,8,CMR,,
24.5119,2005,9,CMR,,
24.7337,2005,10,CMR,,
24.6086,2005,11,CMR,,
24.725,2005,12,CMR,,
24.2327,2006,1,CMR,,
25.9057,2006,2,CMR,,
26.6769,2006,3,CMR,,
26.8642,2006,4,CMR,,
26.2371,2006,5,CMR,,
25.2831,2006,6,CMR,,
24.2388,2006,7,CMR,,
23.8027,2006,8,CMR,,
23.9732,2006,9,CMR,,
24.6697,2006,10,CMR,,
24.08,2006,11,CMR,,
23.6805,2006,12,CMR,,
23.9091,2007,1,CMR,,
26.3731,2007,2,CMR,,
27.0766,2007,3,CMR,,
26.8374,2007,4,CMR,,
26.2782,2007,5,CMR,,
24.5096,2007,6,CMR,,
24.2898,2007,7,CMR,,
23.8042,2007,8,CMR,,
24.0538,2007,9,CMR,,
24.6634,2007,10,CMR,,
25.0876,2007,11,CMR,,
24.232,2007,12,CMR,,
23.2781,2008,1,CMR,,
25.1023,2008,2,CMR,,
26.6542,2008,3,CMR,,
26.2006,2008,4,CMR,,
25.5428,2008,5,CMR,,
24.6569,2008,6,CMR,,
23.4445,2008,7,CMR,,
23.7334,2008,8,CMR,,
24.2041,2008,9,CMR,,
24.9418,2008,10,CMR,,
24.7614,2008,11,CMR,,
24.8049,2008,12,CMR,,
24.9786,2009,1,CMR,,
26.2492,2009,2,CMR,,
27.0753,2009,3,CMR,,
27.446,2009,4,CMR,,
26.2516,2009,5,CMR,,
24.987,2009,6,CMR,,
24.2721,2009,7,CMR,,
24.1865,2009,8,CMR,,
24.4469,2009,9,CMR,,
25.2821,2009,10,CMR,,
24.7466,2009,11,CMR,,
24.8514,2009,12,CMR,,
25.2297,2010,1,CMR,,
26.2536,2010,2,CMR,,
26.8279,2010,3,CMR,,
28.1041,2010,4,CMR,,
26.3,2010,5,CMR,,
25.1808,2010,6,CMR,,
24.0469,2010,7,CMR,,
23.9045,2010,8,CMR,,
23.773,2010,9,CMR,,
25.3491,2010,10,CMR,,
25.5438,2010,11,CMR,,
24.3297,2010,12,CMR,,
24.2369,2011,1,CMR,,
26.5635,2011,2,CMR,,
27.0834,2011,3,CMR,,
26.9874,2011,4,CMR,,
26.2454,2011,5,CMR,,
24.8602,2011,6,CMR,,
24.5074,2011,7,CMR,,
24.0111,2011,8,CMR,,
24.0121,2011,9,CMR,,
24.5359,2011,10,CMR,,
24.4357,2011,11,CMR,,
24.119,2011,12,CMR,,
25.1461,2012,1,CMR,,
26.6078,2012,2,CMR,,
26.5738,2012,3,CMR,,
27.899,2012,4,CMR,,
25.9244,2012,5,CMR,,
24.3193,2012,6,CMR,,
23.6548,2012,7,CMR,,
23.3515,2012,8,CMR,,
24.0671,2012,9,CMR,,
23.6243,2012,10,CMR,,
25.8657,2012,11,CMR,,
24.1461,2012,12,CMR,,
22.9953,2013,1,CMR,,
25.7629,2013,2,CMR,,
27.7543,2013,3,CMR,,
26.3008,2013,4,CMR,,
26.3267,2013,5,CMR,,
25.1548,2013,6,CMR,,
23.9722,2013,7,CMR,,
22.8927,2013,8,CMR,,
23.804,2013,9,CMR,,
24.2757,2013,10,CMR,,
25.1509,2013,11,CMR,,
24.7713,2013,12,CMR,,
25.175,2014,1,CMR,,
25.7551,2014,2,CMR,,
27.1304,2014,3,CMR,,
27.3453,2014,4,CMR,,
25.6389,2014,5,CMR,,
25.4051,2014,6,CMR,,
24.4368,2014,7,CMR,,
23.3022,2014,8,CMR,,
23.7416,2014,9,CMR,,
25.0985,2014,10,CMR,,
24.9885,2014,11,CMR,,
24.2711,2014,12,CMR,,
23.6393,2015,1,CMR,,
26.1194,2015,2,CMR,,
27.6386,2015,3,CMR,,
26.5629,2015,4,CMR,,
26.4006,2015,5,CMR,,
24.8235,2015,6,CMR,,
24.8681,2015,7,CMR,,
24.1725,2015,8,CMR,,
23.7774,2015,9,CMR,,
25.2888,2015,10,CMR,,
24.9772,2015,11,CMR,,
23.3128,2015,12,CMR,,
26.2999,1991,1,CYM,,
25.2999,1991,2,CYM,,
26.6,1991,3,CYM,,
27,1991,4,CYM,,
27.2,1991,5,CYM,,
29,1991,6,CYM,,
29.2,1991,7,CYM,,
28.7999,1991,8,CYM,,
28.9,1991,9,CYM,,
28.1,1991,10,CYM,,
26.7,1991,11,CYM,,
26.1,1991,12,CYM,,
24.9,1992,1,CYM,,
26,1992,2,CYM,,
25.6,1992,3,CYM,,
26.2999,1992,4,CYM,,
26.9,1992,5,CYM,,
29.2999,1992,6,CYM,,
29,1992,7,CYM,,
28.4,1992,8,CYM,,
28.1,1992,9,CYM,,
28,1992,10,CYM,,
27.6,1992,11,CYM,,
26.4,1992,12,CYM,,
25.6,1993,1,CYM,,
25.5,1993,2,CYM,,
25.9,1993,3,CYM,,
26.2,1993,4,CYM,,
27.2,1993,5,CYM,,
29.2,1993,6,CYM,,
29.2999,1993,7,CYM,,
29,1993,8,CYM,,
28.2999,1993,9,CYM,,
28.4,1993,10,CYM,,
27.6,1993,11,CYM,,
26,1993,12,CYM,,
25.4,1994,1,CYM,,
26.2,1994,2,CYM,,
26.6,1994,3,CYM,,
26.9,1994,4,CYM,,
27.9,1994,5,CYM,,
29.2,1994,6,CYM,,
29.2,1994,7,CYM,,
28.7999,1994,8,CYM,,
28.5,1994,9,CYM,,
29,1994,10,CYM,,
27.5,1994,11,CYM,,
26.4,1994,12,CYM,,
25.4,1995,1,CYM,,
25.7,1995,2,CYM,,
26.1,1995,3,CYM,,
27.4,1995,4,CYM,,
28.9,1995,5,CYM,,
29.2,1995,6,CYM,,
29.4,1995,7,CYM,,
28.9,1995,8,CYM,,
29.2,1995,9,CYM,,
28.2999,1995,10,CYM,,
27.2999,1995,11,CYM,,
26,1995,12,CYM,,
25,1996,1,CYM,,
25.1,1996,2,CYM,,
25.1,1996,3,CYM,,
26,1996,4,CYM,,
27.2,1996,5,CYM,,
28.1,1996,6,CYM,,
28.6,1996,7,CYM,,
28.4,1996,8,CYM,,
28.6,1996,9,CYM,,
27.9,1996,10,CYM,,
26.6,1996,11,CYM,,
25.7,1996,12,CYM,,
25.5,1997,1,CYM,,
26.7,1997,2,CYM,,
26.5,1997,3,CYM,,
26.9,1997,4,CYM,,
28.2,1997,5,CYM,,
28.7,1997,6,CYM,,
28.9,1997,7,CYM,,
29.4,1997,8,CYM,,
28.5,1997,9,CYM,,
27.7999,1997,10,CYM,,
28.2999,1997,11,CYM,,
27.1,1997,12,CYM,,
26.5,1998,1,CYM,,
26.2,1998,2,CYM,,
26.2999,1998,3,CYM,,
27,1998,4,CYM,,
28.2999,1998,5,CYM,,
29.7999,1998,6,CYM,,
29.6,1998,7,CYM,,
29.7999,1998,8,CYM,,
29.7,1998,9,CYM,,
28.9,1998,10,CYM,,
27.7999,1998,11,CYM,,
26.7999,1998,12,CYM,,
25.7999,1999,1,CYM,,
25.2,1999,2,CYM,,
25.9,1999,3,CYM,,
27.1,1999,4,CYM,,
27.9,1999,5,CYM,,
28.7,1999,6,CYM,,
28.7999,1999,7,CYM,,
28.9,1999,8,CYM,,
27.9,1999,9,CYM,,
28.2,1999,10,CYM,,
27,1999,11,CYM,,
26,1999,12,CYM,,
25.1,2000,1,CYM,,
25.5,2000,2,CYM,,
26.2,2000,3,CYM,,
26.7999,2000,4,CYM,,
28.1,2000,5,CYM,,
29,2000,6,CYM,,
29.4,2000,7,CYM,,
28.7,2000,8,CYM,,
29,2000,9,CYM,,
28.2,2000,10,CYM,,
27.6,2000,11,CYM,,
26.1,2000,12,CYM,,
24.6,2001,1,CYM,,
26.7,2001,2,CYM,,
26.6,2001,3,CYM,,
27.1,2001,4,CYM,,
27.5,2001,5,CYM,,
29.1,2001,6,CYM,,
29.2999,2001,7,CYM,,
29.4,2001,8,CYM,,
28.4,2001,9,CYM,,
28.6,2001,10,CYM,,
27.2,2001,11,CYM,,
27.1,2001,12,CYM,,
26.1,2002,1,CYM,,
25.7,2002,2,CYM,,
27.1,2002,3,CYM,,
27.2,2002,4,CYM,,
28.1,2002,5,CYM,,
29,2002,6,CYM,,
29.2,2002,7,CYM,,
29.2999,2002,8,CYM,,
29.1,2002,9,CYM,,
28.9,2002,10,CYM,,
27.7,2002,11,CYM,,
26.7999,2002,12,CYM,,
24.4,2003,1,CYM,,
26.7,2003,2,CYM,,
27.9,2003,3,CYM,,
26.7999,2003,4,CYM,,
28.6,2003,5,CYM,,
29,2003,6,CYM,,
29.5,2003,7,CYM,,
29.2,2003,8,CYM,,
29.5,2003,9,CYM,,
29.2,2003,10,CYM,,
28,2003,11,CYM,,
25.9,2003,12,CYM,,
25.4,2004,1,CYM,,
26,2004,2,CYM,,
26.6,2004,3,CYM,,
26.4,2004,4,CYM,,
27.7999,2004,5,CYM,,
29.2,2004,6,CYM,,
29.4,2004,7,CYM,,
29.2999,2004,8,CYM,,
29.2,2004,9,CYM,,
28.4,2004,10,CYM,,
27.7999,2004,11,CYM,,
26.4,2004,12,CYM,,
25,2005,1,CYM,,
24,2005,2,CYM,,
27.1,2005,3,CYM,,
26.9,2005,4,CYM,,
28,2005,5,CYM,,
28.6,2005,6,CYM,,
29.2,2005,7,CYM,,
29.2999,2005,8,CYM,,
29.4,2005,9,CYM,,
28.5,2005,10,CYM,,
27.6,2005,11,CYM,,
26.7,2005,12,CYM,,
25.1,2006,1,CYM,,
23.7999,2006,2,CYM,,
26.5,2006,3,CYM,,
27.2,2006,4,CYM,,
28.2999,2006,5,CYM,,
29.1,2006,6,CYM,,
29.7999,2006,7,CYM,,
29.7999,2006,8,CYM,,
29.2999,2006,9,CYM,,
28.7,2006,10,CYM,,
26.9,2006,11,CYM,,
27.1,2006,12,CYM,,
27.2999,2007,1,CYM,,
26.7,2007,2,CYM,,
26.4,2007,3,CYM,,
26.9,2007,4,CYM,,
27.5,2007,5,CYM,,
29.1,2007,6,CYM,,
29.7999,2007,7,CYM,,
28.7,2007,8,CYM,,
28.9,2007,9,CYM,,
28.6,2007,10,CYM,,
27.2999,2007,11,CYM,,
26.7999,2007,12,CYM,,
25.2,2008,1,CYM,,
25.6,2008,2,CYM,,
26.2999,2008,3,CYM,,
26.5,2008,4,CYM,,
28.1,2008,5,CYM,,
28.7999,2008,6,CYM,,
29.1,2008,7,CYM,,
28.6,2008,8,CYM,,
28.7999,2008,9,CYM,,
28,2008,10,CYM,,
26.2,2008,11,CYM,,
25.7999,2008,12,CYM,,
24.7,2009,1,CYM,,
24.6,2009,2,CYM,,
25.2999,2009,3,CYM,,
26.2,2009,4,CYM,,
27.7,2009,5,CYM,,
28.9,2009,6,CYM,,
28.9,2009,7,CYM,,
28.7,2009,8,CYM,,
29,2009,9,CYM,,
28.7999,2009,10,CYM,,
27.1,2009,11,CYM,,
27.2999,2009,12,CYM,,
24.2999,2010,1,CYM,,
24.6,2010,2,CYM,,
25,2010,3,CYM,,
27,2010,4,CYM,,
28.2,2010,5,CYM,,
28.9,2010,6,CYM,,
29.2,2010,7,CYM,,
28.7999,2010,8,CYM,,
28.9,2010,9,CYM,,
28.2999,2010,10,CYM,,
26.7,2010,11,CYM,,
24,2010,12,CYM,,
24.2999,2011,1,CYM,,
25.2999,2011,2,CYM,,
26.1,2011,3,CYM,,
26.7,2011,4,CYM,,
28.1,2011,5,CYM,,
28.6,2011,6,CYM,,
29.1,2011,7,CYM,,
28.9,2011,8,CYM,,
29.2,2011,9,CYM,,
28,2011,10,CYM,,
27.4,2011,11,CYM,,
26.2999,2011,12,CYM,,
25,2012,1,CYM,,
26,2012,2,CYM,,
26.4,2012,3,CYM,,
26.6,2012,4,CYM,,
27.7,2012,5,CYM,,
29.1,2012,6,CYM,,
29.1,2012,7,CYM,,
28.7999,2012,8,CYM,,
29,2012,9,CYM,,
27.9,2012,10,CYM,,
26.5,2012,11,CYM,,
26.7,2012,12,CYM,,
26.2,2013,1,CYM,,
26.1,2013,2,CYM,,
25.4,2013,3,CYM,,
27.1,2013,4,CYM,,
27.9,2013,5,CYM,,
28.7999,2013,6,CYM,,
28.7999,2013,7,CYM,,
28.5,2013,8,CYM,,
28.6,2013,9,CYM,,
28.7,2013,10,CYM,,
27.7,2013,11,CYM,,
27,2013,12,CYM,,
25.4,2014,1,CYM,,
26.4,2014,2,CYM,,
26.7,2014,3,CYM,,
27.2,2014,4,CYM,,
27.4,2014,5,CYM,,
28.6,2014,6,CYM,,
29.6,2014,7,CYM,,
29.1,2014,8,CYM,,
28.2999,2014,9,CYM,,
28.4,2014,10,CYM,,
27,2014,11,CYM,,
26.1,2014,12,CYM,,
25.7999,2015,1,CYM,,
25.2999,2015,2,CYM,,
26.7,2015,3,CYM,,
27.1,2015,4,CYM,,
28.2999,2015,5,CYM,,
29,2015,6,CYM,,
29.5,2015,7,CYM,,
29.7,2015,8,CYM,,
29.2999,2015,9,CYM,,
29.1,2015,10,CYM,,
28.2,2015,11,CYM,,
27.9,2015,12,CYM,,
12.5839,1991,1,CHL,,
12.0689,1991,2,CHL,,
10.93,1991,3,CHL,,
8.75411,1991,4,CHL,,
6.59379,1991,5,CHL,,
4.51383,1991,6,CHL,,
3.72548,1991,7,CHL,,
4.07168,1991,8,CHL,,
6.59047,1991,9,CHL,,
7.66671,1991,10,CHL,,
10.0804,1991,11,CHL,,
10.3808,1991,12,CHL,,
13.4852,1992,1,CHL,,
11.5625,1992,2,CHL,,
11.6188,1992,3,CHL,,
8.76396,1992,4,CHL,,
5.76222,1992,5,CHL,,
3.77727,1992,6,CHL,,
2.78413,1992,7,CHL,,
4.86908,1992,8,CHL,,
6.05794,1992,9,CHL,,
7.72532,1992,10,CHL,,
10.2062,1992,11,CHL,,
11.895,1992,12,CHL,,
12.5885,1993,1,CHL,,
12.5519,1993,2,CHL,,
11.4958,1993,3,CHL,,
8.50447,1993,4,CHL,,
5.85123,1993,5,CHL,,
4.1682,1993,6,CHL,,
4.0063,1993,7,CHL,,
5.39574,1993,8,CHL,,
6.40481,1993,9,CHL,,
8.60083,1993,10,CHL,,
9.97821,1993,11,CHL,,
11.6275,1993,12,CHL,,
13.0856,1994,1,CHL,,
11.5265,1994,2,CHL,,
11.1871,1994,3,CHL,,
8.57471,1994,4,CHL,,
6.33797,1994,5,CHL,,
4.76839,1994,6,CHL,,
3.66054,1994,7,CHL,,
4.91349,1994,8,CHL,,
6.61864,1994,9,CHL,,
8.21102,1994,10,CHL,,
10.3565,1994,11,CHL,,
12.2159,1994,12,CHL,,
12.4837,1995,1,CHL,,
11.8407,1995,2,CHL,,
10.5733,1995,3,CHL,,
9.13036,1995,4,CHL,,
6.84824,1995,5,CHL,,
4.22429,1995,6,CHL,,
2.78712,1995,7,CHL,,
3.60648,1995,8,CHL,,
6.24645,1995,9,CHL,,
8.30879,1995,10,CHL,,
10.2261,1995,11,CHL,,
12.794,1995,12,CHL,,
11.9115,1996,1,CHL,,
11.5398,1996,2,CHL,,
11.0979,1996,3,CHL,,
7.97363,1996,4,CHL,,
6.89804,1996,5,CHL,,
3.45253,1996,6,CHL,,
4.34982,1996,7,CHL,,
5.19208,1996,8,CHL,,
6.94847,1996,9,CHL,,
8.4069,1996,10,CHL,,
10.2403,1996,11,CHL,,
11.7495,1996,12,CHL,,
12.6841,1997,1,CHL,,
11.3805,1997,2,CHL,,
11.6234,1997,3,CHL,,
9.40289,1997,4,CHL,,
7.02028,1997,5,CHL,,
4.81283,1997,6,CHL,,
4.67712,1997,7,CHL,,
5.24122,1997,8,CHL,,
6.82219,1997,9,CHL,,
8.242,1997,10,CHL,,
10.3934,1997,11,CHL,,
12.2759,1997,12,CHL,,
12.9205,1998,1,CHL,,
13.1309,1998,2,CHL,,
11.2957,1998,3,CHL,,
9.16311,1998,4,CHL,,
7.38319,1998,5,CHL,,
5.40084,1998,6,CHL,,
5.40959,1998,7,CHL,,
5.27819,1998,8,CHL,,
5.84445,1998,9,CHL,,
8.71661,1998,10,CHL,,
10.2188,1998,11,CHL,,
12.0391,1998,12,CHL,,
12.8652,1999,1,CHL,,
12.6558,1999,2,CHL,,
10.8079,1999,3,CHL,,
8.33054,1999,4,CHL,,
6.32766,1999,5,CHL,,
3.80033,1999,6,CHL,,
3.72975,1999,7,CHL,,
5.19142,1999,8,CHL,,
6.53668,1999,9,CHL,,
8.82819,1999,10,CHL,,
10.5887,1999,11,CHL,,
11.6879,1999,12,CHL,,
12.4928,2000,1,CHL,,
11.6899,2000,2,CHL,,
10.2869,2000,3,CHL,,
8.76166,2000,4,CHL,,
6.18344,2000,5,CHL,,
4.27445,2000,6,CHL,,
3.27258,2000,7,CHL,,
4.75241,2000,8,CHL,,
5.24887,2000,9,CHL,,
8.27556,2000,10,CHL,,
9.4395,2000,11,CHL,,
11.3761,2000,12,CHL,,
12.2867,2001,1,CHL,,
12.4925,2001,2,CHL,,
10.4976,2001,3,CHL,,
8.3982,2001,4,CHL,,
5.74073,2001,5,CHL,,
4.40119,2001,6,CHL,,
3.34721,2001,7,CHL,,
4.93144,2001,8,CHL,,
6.19492,2001,9,CHL,,
8.69306,2001,10,CHL,,
9.3842,2001,11,CHL,,
12.456,2001,12,CHL,,
12.463,2002,1,CHL,,
12.4923,2002,2,CHL,,
10.3708,2002,3,CHL,,
8.28818,2002,4,CHL,,
5.60729,2002,5,CHL,,
2.93611,2002,6,CHL,,
4.19724,2002,7,CHL,,
4.97009,2002,8,CHL,,
6.50602,2002,9,CHL,,
7.92424,2002,10,CHL,,
9.53735,2002,11,CHL,,
11.7338,2002,12,CHL,,
12.5587,2003,1,CHL,,
12.0931,2003,2,CHL,,
11.332,2003,3,CHL,,
8.25239,2003,4,CHL,,
6.60133,2003,5,CHL,,
5.06034,2003,6,CHL,,
4.67963,2003,7,CHL,,
4.96181,2003,8,CHL,,
6.57851,2003,9,CHL,,
8.43503,2003,10,CHL,,
10.2578,2003,11,CHL,,
