tas,"	Year", Month, Country, ISO3, ISO2
24.9814,2005,7,GUY,,
25.4411,2005,8,GUY,,
26.5251,2005,9,GUY,,
26.8728,2005,10,GUY,,
27.2357,2005,11,GUY,,
25.596,2005,12,GUY,,
25.0743,2006,1,GUY,,
25.1133,2006,2,GUY,,
25.5355,2006,3,GUY,,
26.2126,2006,4,GUY,,
25.5999,2006,5,GUY,,
25.3192,2006,6,GUY,,
25.8552,2006,7,GUY,,
26.1066,2006,8,GUY,,
26.8818,2006,9,GUY,,
27.3528,2006,10,GUY,,
26.5525,2006,11,GUY,,
26.3306,2006,12,GUY,,
26.2766,2007,1,GUY,,
26.5578,2007,2,GUY,,
25.9771,2007,3,GUY,,
25.5677,2007,4,GUY,,
26.1062,2007,5,GUY,,
24.8669,2007,6,GUY,,
24.8459,2007,7,GUY,,
25.6402,2007,8,GUY,,
26.3891,2007,9,GUY,,
26.4259,2007,10,GUY,,
26.7505,2007,11,GUY,,
25.5739,2007,12,GUY,,
25.1056,2008,1,GUY,,
25.0675,2008,2,GUY,,
25.1741,2008,3,GUY,,
25.6234,2008,4,GUY,,
25.5049,2008,5,GUY,,
25.4535,2008,6,GUY,,
25.2063,2008,7,GUY,,
26.0283,2008,8,GUY,,
26.5841,2008,9,GUY,,
26.8894,2008,10,GUY,,
27.1606,2008,11,GUY,,
25.8529,2008,12,GUY,,
25.4493,2009,1,GUY,,
25.6032,2009,2,GUY,,
25.7999,2009,3,GUY,,
26.0219,2009,4,GUY,,
26.6164,2009,5,GUY,,
25.5158,2009,6,GUY,,
25.4863,2009,7,GUY,,
26.2901,2009,8,GUY,,
26.9641,2009,9,GUY,,
26.3429,2009,10,GUY,,
27.1465,2009,11,GUY,,
25.9478,2009,12,GUY,,
26.5418,2010,1,GUY,,
26.7502,2010,2,GUY,,
26.9594,2010,3,GUY,,
25.965,2010,4,GUY,,
25.7297,2010,5,GUY,,
25.9922,2010,6,GUY,,
25.7155,2010,7,GUY,,
25.8312,2010,8,GUY,,
26.7658,2010,9,GUY,,
27.1652,2010,10,GUY,,
27.2921,2010,11,GUY,,
25.7382,2010,12,GUY,,
25.7275,2011,1,GUY,,
25.362,2011,2,GUY,,
25.1558,2011,3,GUY,,
25.7998,2011,4,GUY,,
25.4023,2011,5,GUY,,
25.5701,2011,6,GUY,,
25.3719,2011,7,GUY,,
26.4299,2011,8,GUY,,
26.6023,2011,9,GUY,,
26.2157,2011,10,GUY,,
25.6713,2011,11,GUY,,
25.8157,2011,12,GUY,,
25.0375,2012,1,GUY,,
24.9261,2012,2,GUY,,
25.2127,2012,3,GUY,,
25.2714,2012,4,GUY,,
25.0589,2012,5,GUY,,
25.1829,2012,6,GUY,,
24.8896,2012,7,GUY,,
25.5403,2012,8,GUY,,
26.3706,2012,9,GUY,,
26.5821,2012,10,GUY,,
26.5813,2012,11,GUY,,
26.4243,2012,12,GUY,,
25.8933,2013,1,GUY,,
24.9742,2013,2,GUY,,
25.7994,2013,3,GUY,,
25.5885,2013,4,GUY,,
25.0277,2013,5,GUY,,
25.1158,2013,6,GUY,,
24.9673,2013,7,GUY,,
25.3254,2013,8,GUY,,
27.169,2013,9,GUY,,
26.3249,2013,10,GUY,,
26.7529,2013,11,GUY,,
26.5608,2013,12,GUY,,
25.3595,2014,1,GUY,,
25.9081,2014,2,GUY,,
26.4141,2014,3,GUY,,
25.9523,2014,4,GUY,,
26.9001,2014,5,GUY,,
25.7468,2014,6,GUY,,
25.6396,2014,7,GUY,,
25.7933,2014,8,GUY,,
27.407,2014,9,GUY,,
26.7098,2014,10,GUY,,
26.6005,2014,11,GUY,,
25.4807,2014,12,GUY,,
25.8673,2015,1,GUY,,
25.6092,2015,2,GUY,,
26.0682,2015,3,GUY,,
26.2581,2015,4,GUY,,
25.7698,2015,5,GUY,,
26.7813,2015,6,GUY,,
25.7054,2015,7,GUY,,
26.8375,2015,8,GUY,,
27.795,2015,9,GUY,,
28.4707,2015,10,GUY,,
27.6432,2015,11,GUY,,
27.0041,2015,12,GUY,,
-0.4326,1991,1,HUN,,
-2.6597,1991,2,HUN,,
7.37497,1991,3,HUN,,
8.91267,1991,4,HUN,,
12.3143,1991,5,HUN,,
18.5289,1991,6,HUN,,
21.6088,1991,7,HUN,,
19.8747,1991,8,HUN,,
16.9864,1991,9,HUN,,
9.65744,1991,10,HUN,,
5.57551,1991,11,HUN,,
-1.9335,1991,12,HUN,,
-0.2991,1992,1,HUN,,
2.40148,1992,2,HUN,,
5.90079,1992,3,HUN,,
11.3545,1992,4,HUN,,
15.7719,1992,5,HUN,,
19.4253,1992,6,HUN,,
21.3481,1992,7,HUN,,
24.0015,1992,8,HUN,,
16.3708,1992,9,HUN,,
10.059,1992,10,HUN,,
5.77228,1992,11,HUN,,
-0.4692,1992,12,HUN,,
-0.4635,1993,1,HUN,,
-1.8311,1993,2,HUN,,
3.94041,1993,3,HUN,,
10.6324,1993,4,HUN,,
18.1689,1993,5,HUN,,
19.1845,1993,6,HUN,,
19.7111,1993,7,HUN,,
20.9055,1993,8,HUN,,
15.5376,1993,9,HUN,,
11.9972,1993,10,HUN,,
1.5361,1993,11,HUN,,
2.18028,1993,12,HUN,,
2.50996,1994,1,HUN,,
1.47743,1994,2,HUN,,
8.22098,1994,3,HUN,,
10.9831,1994,4,HUN,,
15.9091,1994,5,HUN,,
19.1896,1994,6,HUN,,
23.1345,1994,7,HUN,,
21.9027,1994,8,HUN,,
18.9692,1994,9,HUN,,
9.45215,1994,10,HUN,,
5.88982,1994,11,HUN,,
1.06197,1994,12,HUN,,
-1.1532,1995,1,HUN,,
5.13814,1995,2,HUN,,
5.1635,1995,3,HUN,,
10.5682,1995,4,HUN,,
14.8383,1995,5,HUN,,
18.0514,1995,6,HUN,,
22.9946,1995,7,HUN,,
20.0802,1995,8,HUN,,
14.9158,1995,9,HUN,,
12.0415,1995,10,HUN,,
2.35121,1995,11,HUN,,
-0.2214,1995,12,HUN,,
-2.3417,1996,1,HUN,,
-2.6993,1996,2,HUN,,
1.85719,1996,3,HUN,,
11.2033,1996,4,HUN,,
17.0062,1996,5,HUN,,
19.7014,1996,6,HUN,,
18.9505,1996,7,HUN,,
19.9705,1996,8,HUN,,
12.78,1996,9,HUN,,
11.3599,1996,10,HUN,,
7.63225,1996,11,HUN,,
-1.8218,1996,12,HUN,,
-2.4181,1997,1,HUN,,
2.20358,1997,2,HUN,,
5.35438,1997,3,HUN,,
7.4315,1997,4,HUN,,
16.2683,1997,5,HUN,,
19.2278,1997,6,HUN,,
19.3684,1997,7,HUN,,
20.5428,1997,8,HUN,,
16.0068,1997,9,HUN,,
8.57751,1997,10,HUN,,
5.8518,1997,11,HUN,,
1.99809,1997,12,HUN,,
2.17128,1998,1,HUN,,
4.87943,1998,2,HUN,,
4.25824,1998,3,HUN,,
12.013,1998,4,HUN,,
15.2206,1998,5,HUN,,
20.0763,1998,6,HUN,,
20.7113,1998,7,HUN,,
20.8533,1998,8,HUN,,
15.3335,1998,9,HUN,,
11.4923,1998,10,HUN,,
2.96826,1998,11,HUN,,
-3.818,1998,12,HUN,,
-0.6553,1999,1,HUN,,
0.13796,1999,2,HUN,,
7.12722,1999,3,HUN,,
11.9931,1999,4,HUN,,
15.4679,1999,5,HUN,,
19.2211,1999,6,HUN,,
21.3976,1999,7,HUN,,
19.8916,1999,8,HUN,,
18.45,1999,9,HUN,,
11.0753,1999,10,HUN,,
3.3002,1999,11,HUN,,
0.10986,1999,12,HUN,,
-2.4782,2000,1,HUN,,
3.22559,2000,2,HUN,,
5.83747,2000,3,HUN,,
13.8627,2000,4,HUN,,
17.5597,2000,5,HUN,,
20.5441,2000,6,HUN,,
19.6626,2000,7,HUN,,
22.6041,2000,8,HUN,,
15.7551,2000,9,HUN,,
13.403,2000,10,HUN,,
8.6076,2000,11,HUN,,
2.21101,2000,12,HUN,,
0.76075,2001,1,HUN,,
2.97219,2001,2,HUN,,
7.81147,2001,3,HUN,,
10.4391,2001,4,HUN,,
17.4312,2001,5,HUN,,
17.5992,2001,6,HUN,,
21.0103,2001,7,HUN,,
22.1003,2001,8,HUN,,
14.4673,2001,9,HUN,,
13.5689,2001,10,HUN,,
3.16762,2001,11,HUN,,
-4.3408,2001,12,HUN,,
-0.6665,2002,1,HUN,,
4.99723,2002,2,HUN,,
7.76209,2002,3,HUN,,
10.8177,2002,4,HUN,,
18.2656,2002,5,HUN,,
20.6341,2002,6,HUN,,
22.4314,2002,7,HUN,,
20.9061,2002,8,HUN,,
15.5549,2002,9,HUN,,
10.4213,2002,10,HUN,,
7.54532,2002,11,HUN,,
-1.0864,2002,12,HUN,,
-2.5461,2003,1,HUN,,
-3.8718,2003,2,HUN,,
5.1884,2003,3,HUN,,
10.1734,2003,4,HUN,,
19.1479,2003,5,HUN,,
21.4693,2003,6,HUN,,
21.7325,2003,7,HUN,,
23.5066,2003,8,HUN,,
16.3728,2003,9,HUN,,
8.52692,2003,10,HUN,,
7.03491,2003,11,HUN,,
0.42629,2003,12,HUN,,
-2.5518,2004,1,HUN,,
1.47898,2004,2,HUN,,
5.37793,2004,3,HUN,,
11.4888,2004,4,HUN,,
14.2404,2004,5,HUN,,
18.4979,2004,6,HUN,,
20.622,2004,7,HUN,,
20.6321,2004,8,HUN,,
15.6436,2004,9,HUN,,
12.2432,2004,10,HUN,,
5.76103,2004,11,HUN,,
0.9407,2004,12,HUN,,
-0.225,2005,1,HUN,,
-2.6497,2005,2,HUN,,
3.68667,2005,3,HUN,,
11.2906,2005,4,HUN,,
16.1915,2005,5,HUN,,
18.7541,2005,6,HUN,,
20.7065,2005,7,HUN,,
19.1532,2005,8,HUN,,
17.0431,2005,9,HUN,,
11.3333,2005,10,HUN,,
4.14848,2005,11,HUN,,
0.40385,2005,12,HUN,,
-3.2601,2006,1,HUN,,
-0.7616,2006,2,HUN,,
4.00447,2006,3,HUN,,
12.1458,2006,4,HUN,,
15.1652,2006,5,HUN,,
19.1458,2006,6,HUN,,
23.0635,2006,7,HUN,,
18.7409,2006,8,HUN,,
17.851,2006,9,HUN,,
12.7891,2006,10,HUN,,
7.24337,2006,11,HUN,,
2.22086,2006,12,HUN,,
4.52408,2007,1,HUN,,
4.74345,2007,2,HUN,,
8.31281,2007,3,HUN,,
12.7677,2007,4,HUN,,
17.2385,2007,5,HUN,,
21.432,2007,6,HUN,,
22.794,2007,7,HUN,,
21.9369,2007,8,HUN,,
14.4911,2007,9,HUN,,
10.4334,2007,10,HUN,,
3.76066,2007,11,HUN,,
-0.8187,2007,12,HUN,,
1.06518,2008,1,HUN,,
4.03506,2008,2,HUN,,
6.57918,2008,3,HUN,,
11.4993,2008,4,HUN,,
16.6094,2008,5,HUN,,
20.5618,2008,6,HUN,,
20.802,2008,7,HUN,,
21.4204,2008,8,HUN,,
15.4587,2008,9,HUN,,
12.2826,2008,10,HUN,,
6.89671,2008,11,HUN,,
2.60925,2008,12,HUN,,
-1.8429,2009,1,HUN,,
1.13531,2009,2,HUN,,
5.8234,2009,3,HUN,,
14.4461,2009,4,HUN,,
