tas,"	Year", Month, Country, ISO3, ISO2
1.26417,1991,1,ALB,,
2.02807,1991,2,ALB,,
8.11757,1991,3,ALB,,
8.98425,1991,4,ALB,,
11.5024,1991,5,ALB,,
18.8599,1991,6,ALB,,
20.4041,1991,7,ALB,,
20.636,1991,8,ALB,,
18.0898,1991,9,ALB,,
12.8007,1991,10,ALB,,
8.32151,1991,11,ALB,,
1.45875,1991,12,ALB,,
1.40526,1992,1,ALB,,
2.22605,1992,2,ALB,,
5.62706,1992,3,ALB,,
9.06494,1992,4,ALB,,
14.7354,1992,5,ALB,,
17.5053,1992,6,ALB,,
20.3239,1992,7,ALB,,
23.2438,1992,8,ALB,,
17.7012,1992,9,ALB,,
14.322,1992,10,ALB,,
8.39536,1992,11,ALB,,
2.60692,1992,12,ALB,,
1.57288,1993,1,ALB,,
1.16634,1993,2,ALB,,
5.3208,1993,3,ALB,,
10.1053,1993,4,ALB,,
15.6881,1993,5,ALB,,
19.3949,1993,6,ALB,,
20.5973,1993,7,ALB,,
22.0339,1993,8,ALB,,
16.8297,1993,9,ALB,,
13.7946,1993,10,ALB,,
6.94132,1993,11,ALB,,
4.97507,1993,12,ALB,,
4.05306,1994,1,ALB,,
3.64293,1994,2,ALB,,
7.98339,1994,3,ALB,,
10.3594,1994,4,ALB,,
15.7166,1994,5,ALB,,
18.7941,1994,6,ALB,,
22.5394,1994,7,ALB,,
23.2285,1994,8,ALB,,
20.2576,1994,9,ALB,,
13.3726,1994,10,ALB,,
5.88679,1994,11,ALB,,
3.09745,1994,12,ALB,,
2.15399,1995,1,ALB,,
5.51083,1995,2,ALB,,
5.42254,1995,3,ALB,,
9.1485,1995,4,ALB,,
14.2238,1995,5,ALB,,
17.7509,1995,6,ALB,,
22.5173,1995,7,ALB,,
19.8581,1995,8,ALB,,
15.7309,1995,9,ALB,,
12.0414,1995,10,ALB,,
5.08554,1995,11,ALB,,
5.42966,1995,12,ALB,,
2.85981,1996,1,ALB,,
2.50438,1996,2,ALB,,
3.769,1996,3,ALB,,
9.43995,1996,4,ALB,,
15.6352,1996,5,ALB,,
20.1667,1996,6,ALB,,
21.0888,1996,7,ALB,,
