tas,"	Year", Month, Country
26.9113,1916,7,BLZ
26.1674,1916,8,BLZ
26.0298,1916,9,BLZ
24.9279,1916,10,BLZ
22.6473,1916,11,BLZ
22.7067,1916,12,BLZ
22.3319,1917,1,BLZ
22.5008,1917,2,BLZ
24.4797,1917,3,BLZ
25.4843,1917,4,BLZ
27.0301,1917,5,BLZ
26.5466,1917,6,BLZ
26.3864,1917,7,BLZ
26.4036,1917,8,BLZ
26.2702,1917,9,BLZ
25.1777,1917,10,BLZ
22.9792,1917,11,BLZ
21.4682,1917,12,BLZ
21.5883,1918,1,BLZ
23.5304,1918,2,BLZ
24.635,1918,3,BLZ
26.094,1918,4,BLZ
26.6487,1918,5,BLZ
26.4267,1918,6,BLZ
26.6523,1918,7,BLZ
26.5886,1918,8,BLZ
26.5511,1918,9,BLZ
26.2752,1918,10,BLZ
23.6414,1918,11,BLZ
22.4831,1918,12,BLZ
21.2358,1919,1,BLZ
23.0902,1919,2,BLZ
24.5976,1919,3,BLZ
25.2399,1919,4,BLZ
26.3764,1919,5,BLZ
26.2169,1919,6,BLZ
26.1636,1919,7,BLZ
26.4886,1919,8,BLZ
26.3511,1919,9,BLZ
25.7021,1919,10,BLZ
24.415,1919,11,BLZ
22.7067,1919,12,BLZ
22.5074,1920,1,BLZ
22.4057,1920,2,BLZ
24.3976,1920,3,BLZ
27.1454,1920,4,BLZ
27.13,1920,5,BLZ
26.134,1920,6,BLZ
26.0749,1920,7,BLZ
26.2349,1920,8,BLZ
26.3511,1920,9,BLZ
25.2135,1920,10,BLZ
23.0176,1920,11,BLZ
22.318,1920,12,BLZ
21.7295,1921,1,BLZ
22.6256,1921,2,BLZ
24.6386,1921,3,BLZ
25.8044,1921,4,BLZ
25.2387,1921,5,BLZ
26.3737,1921,6,BLZ
26.1535,1921,7,BLZ
26.3886,1921,8,BLZ
26.3284,1921,9,BLZ
25.1263,1921,10,BLZ
23.609,1921,11,BLZ
22.745,1921,12,BLZ
22.5774,1922,1,BLZ
23.3255,1922,2,BLZ
24.9363,1922,3,BLZ
26.8636,1922,4,BLZ
26.9209,1922,5,BLZ
26.7845,1922,6,BLZ
26.3587,1922,7,BLZ
26.8795,1922,8,BLZ
26.6511,1922,9,BLZ
25.4171,1922,10,BLZ
23.6414,1922,11,BLZ
22.8177,1922,12,BLZ
22.2327,1923,1,BLZ
22.9419,1923,2,BLZ
24.6848,1923,3,BLZ
26.3285,1923,4,BLZ
27.2041,1923,5,BLZ
26.8762,1923,6,BLZ
26.4668,1923,7,BLZ
26.6885,1923,8,BLZ
26.3927,1923,9,BLZ
25.1376,1923,10,BLZ
22.7995,1923,11,BLZ
22.9654,1923,12,BLZ
22.186,1924,1,BLZ
21.3367,1924,2,BLZ
24.2067,1924,3,BLZ
26.2184,1924,4,BLZ
27.3327,1924,5,BLZ
27.3924,1924,6,BLZ
26.701,1924,7,BLZ
