tas,"	Year", Month, Country, ISO3, ISO2
24.3274,2005,6,AFG,,
26.6306,2005,7,AFG,,
24.4804,2005,8,AFG,,
21.6369,2005,9,AFG,,
15.2099,2005,10,AFG,,
7.88424,2005,11,AFG,,
3.71027,2005,12,AFG,,
-0.1252,2006,1,AFG,,
6.0592,2006,2,AFG,,
9.31454,2006,3,AFG,,
14.8407,2006,4,AFG,,
22.4679,2006,5,AFG,,
24.3266,2006,6,AFG,,
26.5177,2006,7,AFG,,
25.0366,2006,8,AFG,,
19.7121,2006,9,AFG,,
16.9971,2006,10,AFG,,
8.64152,2006,11,AFG,,
1.54701,2006,12,AFG,,
0.71744,2007,1,AFG,,
3.98124,2007,2,AFG,,
7.48859,2007,3,AFG,,
17.0368,2007,4,AFG,,
19.9826,2007,5,AFG,,
24.8193,2007,6,AFG,,
25.8432,2007,7,AFG,,
24.2314,2007,8,AFG,,
20.1399,2007,9,AFG,,
12.1821,2007,10,AFG,,
9.24993,2007,11,AFG,,
1.96833,2007,12,AFG,,
-4.4382,2008,1,AFG,,
0.70511,2008,2,AFG,,
12.2944,2008,3,AFG,,
15.3727,2008,4,AFG,,
21.1888,2008,5,AFG,,
25.8995,2008,6,AFG,,
26.7946,2008,7,AFG,,
24.479,2008,8,AFG,,
20.5376,2008,9,AFG,,
15.3707,2008,10,AFG,,
7.47529,2008,11,AFG,,
3.8657,2008,12,AFG,,
1.90667,2009,1,AFG,,
5.164,2009,2,AFG,,
10.6567,2009,3,AFG,,
12.0232,2009,4,AFG,,
19.8301,2009,5,AFG,,
21.9631,2009,6,AFG,,
25.8204,2009,7,AFG,,
25.2533,2009,8,AFG,,
20.8158,2009,9,AFG,,
13.6546,2009,10,AFG,,
7.96202,2009,11,AFG,,
4.00828,2009,12,AFG,,
3.7868,2010,1,AFG,,
3.02271,2010,2,AFG,,
11.0504,2010,3,AFG,,
16.3329,2010,4,AFG,,
19.5137,2010,5,AFG,,
24.0412,2010,6,AFG,,
25.7227,2010,7,AFG,,
24.6078,2010,8,AFG,,
19.3678,2010,9,AFG,,
16.5072,2010,10,AFG,,
7.40157,2010,11,AFG,,
2.51884,2010,12,AFG,,
0.98678,2011,1,AFG,,
2.67457,2011,2,AFG,,
8.60924,2011,3,AFG,,
15.3251,2011,4,AFG,,
21.6236,2011,5,AFG,,
25.4622,2011,6,AFG,,
25.8103,2011,7,AFG,,
25.7223,2011,8,AFG,,
20.1612,2011,9,AFG,,
14.8438,2011,10,AFG,,
7.32179,2011,11,AFG,,
0.31344,2011,12,AFG,,
-0.3493,2012,1,AFG,,
-0.3594,2012,2,AFG,,
7.5566,2012,3,AFG,,
14.9522,2012,4,AFG,,
19.3817,2012,5,AFG,,
23.6182,2012,6,AFG,,
26.5931,2012,7,AFG,,
24.88,2012,8,AFG,,
19.8135,2012,9,AFG,,
13.8703,2012,10,AFG,,
7.42172,2012,11,AFG,,
2.33784,2012,12,AFG,,
1.70512,2013,1,AFG,,
3.0597,2013,2,AFG,,
7.34807,2013,3,AFG,,
13.6547,2013,4,AFG,,
19.7117,2013,5,AFG,,
25.2979,2013,6,AFG,,
26.7007,2013,7,AFG,,
24.6556,2013,8,AFG,,
21.9339,2013,9,AFG,,
15.4936,2013,10,AFG,,
8.05435,2013,11,AFG,,
2.65949,2013,12,AFG,,
2.43597,2014,1,AFG,,
-0.4978,2014,2,AFG,,
8.22655,2014,3,AFG,,
14.2059,2014,4,AFG,,
19.6576,2014,5,AFG,,
25.0551,2014,6,AFG,,
26.4271,2014,7,AFG,,
25.2423,2014,8,AFG,,
22.0375,2014,9,AFG,,
14.9482,2014,10,AFG,,
7.19898,2014,11,AFG,,
2.65858,2014,12,AFG,,
2.3096,2015,1,AFG,,
3.69264,2015,2,AFG,,
7.1825,2015,3,AFG,,
14.7444,2015,4,AFG,,
19.4504,2015,5,AFG,,
25.8064,2015,6,AFG,,
26.4833,2015,7,AFG,,
24.3467,2015,8,AFG,,
19.2912,2015,9,AFG,,
15.3565,2015,10,AFG,,
7.73365,2015,11,AFG,,
2.88471,2015,12,AFG,,
27.52,1991,1,ASM,,
27.3599,1991,2,ASM,,
27.72,1991,3,ASM,,
27.74,1991,4,ASM,,
25.94,1991,5,ASM,,
26.76,1991,6,ASM,,
26.3599,1991,7,ASM,,
26.16,1991,8,ASM,,
26.08,1991,9,ASM,,
26.6399,1991,10,ASM,,
27.22,1991,11,ASM,,
27.0599,1991,12,ASM,,
27.22,1992,1,ASM,,
27.3599,1992,2,ASM,,
27.32,1992,3,ASM,,
27.4599,1992,4,ASM,,
27.0599,1992,5,ASM,,
26.48,1992,6,ASM,,
26.4599,1992,7,ASM,,
26.3599,1992,8,ASM,,
26.72,1992,9,ASM,,
27.04,1992,10,ASM,,
26.58,1992,11,ASM,,
27.1399,1992,12,ASM,,
27.4,1993,1,ASM,,
27.16,1993,2,ASM,,
27.12,1993,3,ASM,,
27.54,1993,4,ASM,,
27,1993,5,ASM,,
26.3799,1993,6,ASM,,
25.76,1993,7,ASM,,
26.16,1993,8,ASM,,
26.34,1993,9,ASM,,
26.1399,1993,10,ASM,,
27.4599,1993,11,ASM,,
27.26,1993,12,ASM,,
27.42,1994,1,ASM,,
27.8599,1994,2,ASM,,
27.82,1994,3,ASM,,
27.44,1994,4,ASM,,
26.8799,1994,5,ASM,,
26.4599,1994,6,ASM,,
25.22,1994,7,ASM,,
25.9,1994,8,ASM,,
25.0599,1994,9,ASM,,
26.44,1994,10,ASM,,
26.16,1994,11,ASM,,
27.92,1994,12,ASM,,
27.82,1995,1,ASM,,
28.02,1995,2,ASM,,
28.28,1995,3,ASM,,
27.84,1995,4,ASM,,
27.6399,1995,5,ASM,,
26.98,1995,6,ASM,,
27.46,1995,7,ASM,,
26.88,1995,8,ASM,,
27,1995,9,ASM,,
27.02,1995,10,ASM,,
27.6199,1995,11,ASM,,
27.86,1995,12,ASM,,
28.24,1996,1,ASM,,
28.2799,1996,2,ASM,,
28.34,1996,3,ASM,,
28.4599,1996,4,ASM,,
27.5,1996,5,ASM,,
27.7,1996,6,ASM,,
27.2,1996,7,ASM,,
27.18,1996,8,ASM,,
27.7199,1996,9,ASM,,
27.36,1996,10,ASM,,
28.16,1996,11,ASM,,
28.3799,1996,12,ASM,,
27.82,1997,1,ASM,,
28.62,1997,2,ASM,,
27.8599,1997,3,ASM,,
28.94,1997,4,ASM,,
27.24,1997,5,ASM,,
26.58,1997,6,ASM,,
27.34,1997,7,ASM,,
26.58,1997,8,ASM,,
26.5399,1997,9,ASM,,
27.94,1997,10,ASM,,
28.24,1997,11,ASM,,
28.62,1997,12,ASM,,
29.26,1998,1,ASM,,
29.94,1998,2,ASM,,
29.48,1998,3,ASM,,
29.4,1998,4,ASM,,
26.8,1998,5,ASM,,
28.24,1998,6,ASM,,
27.24,1998,7,ASM,,
27.08,1998,8,ASM,,
26.26,1998,9,ASM,,
26.92,1998,10,ASM,,
29.58,1998,11,ASM,,
28.2,1998,12,ASM,,
27.58,1999,1,ASM,,
27.62,1999,2,ASM,,
27.92,1999,3,ASM,,
28.2799,1999,4,ASM,,
26.62,1999,5,ASM,,
26.78,1999,6,ASM,,
27.1399,1999,7,ASM,,
26.68,1999,8,ASM,,
27.1,1999,9,ASM,,
27.1,1999,10,ASM,,
27.68,1999,11,ASM,,
28.3799,1999,12,ASM,,
28.7199,2000,1,ASM,,
28.58,2000,2,ASM,,
28.18,2000,3,ASM,,
28.5599,2000,4,ASM,,
27.6399,2000,5,ASM,,
27.04,2000,6,ASM,,
26.4599,2000,7,ASM,,
26.6,2000,8,ASM,,
