tas,"	Year", Month, Country
32.6363,1917,9,KWT
25.7238,1917,10,KWT
20.2964,1917,11,KWT
13.148,1917,12,KWT
12.0945,1918,1,KWT
14.2315,1918,2,KWT
17.5276,1918,3,KWT
22.7127,1918,4,KWT
29.1492,1918,5,KWT
32.2158,1918,6,KWT
35.0239,1918,7,KWT
35.074,1918,8,KWT
32.4233,1918,9,KWT
28.2561,1918,10,KWT
20.8082,1918,11,KWT
14.2662,1918,12,KWT
14.1319,1919,1,KWT
15.6429,1919,2,KWT
18.7351,1919,3,KWT
24.3772,1919,4,KWT
29.3352,1919,5,KWT
32.3418,1919,6,KWT
34.7875,1919,7,KWT
35.2953,1919,8,KWT
32.7681,1919,9,KWT
27.9231,1919,10,KWT
21.0553,1919,11,KWT
14.4564,1919,12,KWT
12.8198,1920,1,KWT
12.2256,1920,2,KWT
19.7869,1920,3,KWT
24.1298,1920,4,KWT
30.7925,1920,5,KWT
34.4408,1920,6,KWT
35.0432,1920,7,KWT
35.4335,1920,8,KWT
33.0884,1920,9,KWT
28.0955,1920,10,KWT
19.6282,1920,11,KWT
11.384,1920,12,KWT
12.0498,1921,1,KWT
13.7763,1921,2,KWT
19.2352,1921,3,KWT
25.4701,1921,4,KWT
29.2049,1921,5,KWT
33.7556,1921,6,KWT
36.2337,1921,7,KWT
35.5382,1921,8,KWT
32.664,1921,9,KWT
26.2844,1921,10,KWT
19.7883,1921,11,KWT
13.1289,1921,12,KWT
13.1935,1922,1,KWT
14.2415,1922,2,KWT
18.623,1922,3,KWT
23.8159,1922,4,KWT
29.5307,1922,5,KWT
34.5543,1922,6,KWT
35.9385,1922,7,KWT
36.0298,1922,8,KWT
32.2013,1922,9,KWT
27.0129,1922,10,KWT
21.4854,1922,11,KWT
14.5813,1922,12,KWT
12.6461,1923,1,KWT
14.028,1923,2,KWT
20.1595,1923,3,KWT
22.602,1923,4,KWT
30.0597,1923,5,KWT
34.6152,1923,6,KWT
35.7616,1923,7,KWT
34.0669,1923,8,KWT
32.2581,1923,9,KWT
27.0452,1923,10,KWT
19.2588,1923,11,KWT
15.1666,1923,12,KWT
13.6539,1924,1,KWT
14.3891,1924,2,KWT
21.3807,1924,3,KWT
24.3729,1924,4,KWT
30.7035,1924,5,KWT
35.089,1924,6,KWT
36.1292,1924,7,KWT
35.0634,1924,8,KWT
32.4613,1924,9,KWT
27.878,1924,10,KWT
20.2899,1924,11,KWT
13.5544,1924,12,KWT
9.39086,1925,1,KWT
12.1334,1925,2,KWT
20.8949,1925,3,KWT
24.5774,1925,4,KWT
30.2778,1925,5,KWT
33.0199,1925,6,KWT
34.5718,1925,7,KWT
35.6099,1925,8,KWT
33.2409,1925,9,KWT
27.7503,1925,10,KWT
19.8948,1925,11,KWT
15.2967,1925,12,KWT
13.4255,1926,1,KWT
15.4891,1926,2,KWT
19.0143,1926,3,KWT
23.0181,1926,4,KWT
30.5215,1926,5,KWT
34.424,1926,6,KWT
34.8501,1926,7,KWT
34.9362,1926,8,KWT
31.0007,1926,9,KWT
26.695,1926,10,KWT
20.7617,1926,11,KWT
14.0612,1926,12,KWT
12.8755,1927,1,KWT
13.034,1927,2,KWT
18.6986,1927,3,KWT
23.0113,1927,4,KWT
31.4666,1927,5,KWT
34.8227,1927,6,KWT
35.9787,1927,7,KWT
35.0819,1927,8,KWT
33.412,1927,9,KWT
28.43,1927,10,KWT
20.7836,1927,11,KWT
13.2502,1927,12,KWT
12.3484,1928,1,KWT
14.5425,1928,2,KWT
17.9721,1928,3,KWT
26.6188,1928,4,KWT
31.0582,1928,5,KWT
34.2321,1928,6,KWT
36.3069,1928,7,KWT
35.0281,1928,8,KWT
33.3646,1928,9,KWT
27.9561,1928,10,KWT
19.3426,1928,11,KWT
13.9248,1928,12,KWT
13.3706,1929,1,KWT
14.5901,1929,2,KWT
18.6723,1929,3,KWT
24.4652,1929,4,KWT
30.8704,1929,5,KWT
33.0795,1929,6,KWT
34.8474,1929,7,KWT
35.3297,1929,8,KWT
32.8978,1929,9,KWT
26.9607,1929,10,KWT
20.4501,1929,11,KWT
13.8933,1929,12,KWT
11.5311,1930,1,KWT
15.5502,1930,2,KWT
19.5703,1930,3,KWT
25.0705,1930,4,KWT
29.9857,1930,5,KWT
33.7043,1930,6,KWT
34.7974,1930,7,KWT
35.5659,1930,8,KWT
32.8848,1930,9,KWT
27.2051,1930,10,KWT
20.8322,1930,11,KWT
14.5526,1930,12,KWT
13.9413,1931,1,KWT
14.5735,1931,2,KWT
19.6597,1931,3,KWT
24.1406,1931,4,KWT
29.8277,1931,5,KWT
